fap,Tension ,Année
A0Z40,-0.4791055290320578,2011
A0Z41,-0.04639498512603697,2011
A0Z42,0.3583341842731398,2011
A0Z43,0.3846373759508719,2011
A1Z40,-0.2211835519003288,2011
A1Z41,-0.6583854885049503,2011
A1Z42,-0.1751032408979552,2011
A2Z70,-0.1710911798234911,2011
A2Z90,-0.4629693848469664,2011
A3Z40,0.1923098818056426,2011
A3Z41,-0.3269765014038944,2011
A3Z90,-0.4424069908335148,2011
B0Z20,-0.5162998138059088,2011
B0Z21,-0.1809327164864796,2011
B1Z40,-0.00220511295126653,2011
B2Z40,0.3038270206171125,2011
B2Z41,0.8907413378145274,2011
B2Z42,0.9551553315139283,2011
B2Z43,1.059357983926132,2011
B2Z44,1.322849964591262,2011
B3Z20,-0.3960152433338792,2011
B4Z41,0.646806538225445,2011
B4Z42,0.6938451595459885,2011
B4Z43,0.2510047447548194,2011
B4Z44,0.3670347161587244,2011
B5Z40,0.05831135701958762,2011
B6Z70,0.3552151141783981,2011
B6Z71,0.6383247676394349,2011
B6Z72,0.9184230133514689,2011
B6Z73,0.6884278576133686,2011
B7Z90,0.007187790568493856,2011
B7Z91,2.133623803972477,2011
C0Z20,-0.007109826737004311,2011
C1Z40,0.2709641817760106,2011
C2Z70,0.7193825336657251,2011
C2Z71,1.554922477003447,2011
C2Z80,0.7205673750997332,2011
D0Z20,0.3020644620439106,2011
D1Z40,1.47331999802369,2011
D1Z41,0.9957678083937828,2011
D2Z40,1.075688372105175,2011
D2Z41,1.325622047054115,2011
D2Z42,0.3444704336460355,2011
D3Z20,-0.03046947576441775,2011
D4Z40,0.6146320789125899,2011
D4Z41,0.742214478445621,2011
D6Z70,1.871346652317505,2011
D6Z71,0.9764150092487993,2011
D6Z80,1.430319068393255,2011
E0Z20,-0.6488497929444793,2011
E0Z21,-0.2064459684793609,2011
E0Z22,-0.819510015538,2011
E0Z23,-0.4183550219643793,2011
E0Z24,-1.139104389517822,2011
E1Z40,0.7806527396937383,2011
E1Z41,-0.3107440277868056,2011
E1Z42,-0.274959047929595,2011
E1Z43,0.1263097070930567,2011
E1Z44,-0.06596266398898498,2011
E1Z46,-0.8943198851444458,2011
E1Z47,-0.2302124155856085,2011
E2Z70,-0.02930962218243402,2011
E2Z80,0.08253605803730665,2011
F0Z20,-0.1369812736759846,2011
F1Z40,-0.03650616277826099,2011
F1Z41,0.07528842980800377,2011
F2Z20,-0.4284811432235051,2011
F3Z41,0.7030247805721866,2011
F4Z20,-0.4009045340670214,2011
F4Z41,0.2357271925831894,2011
F5Z70,0.1902281607413588,2011
G0A40,0.3634093052464966,2011
G0A41,0.5661743837624256,2011
G0A42,0.5795135837579489,2011
G0A43,-0.2932202114590234,2011
G0B40,0.8368535203437887,2011
G0B41,0.9032922985856007,2011
G1Z70,0.3336607500922278,2011
G1Z71,1.180273497948084,2011
G1Z80,-0.3167513199356445,2011
H0Z90,0.983967954650534,2011
H0Z91,0.3518936359609927,2011
H0Z92,0.6105515338307076,2011
J0Z20,-0.7010389297677299,2011
J1Z40,-0.5760028700270026,2011
J1Z80,-0.1711643642927961,2011
J3Z40,0.1675427149149493,2011
J3Z41,0.3348809360676839,2011
J3Z42,-0.1711239007247848,2011
J3Z43,0.1937446767238485,2011
J3Z44,-1.23262053890133,2011
J4Z40,0.8387635074127823,2011
J4Z60,0.1733808954026668,2011
J4Z80,0.03927595431097589,2011
J5Z60,-0.8668228476420019,2011
J5Z61,-0.4858713768022196,2011
J5Z62,-0.6358749859486701,2011
J5Z80,-0.228257755111923,2011
J6Z90,-0.3698063541322275,2011
J6Z91,-0.1037020513600173,2011
J6Z92,0.5360179864490859,2011
L0Z60,-0.821600311105946,2011
L1Z60,-0.4456614963374354,2011
L2Z60,-0.8197070898337988,2011
L2Z61,-0.9633176656914056,2011
L3Z80,-0.4769802501494274,2011
L4Z80,-0.3157579603795235,2011
L4Z81,0.06366452169331188,2011
L5Z90,0.06088546385500032,2011
L5Z91,-0.4636871712713635,2011
L5Z92,-0.426915242230846,2011
M0Z60,-0.4462536207553235,2011
M1Z80,0.6964915759311173,2011
M1Z81,-0.3728782540033994,2011
M2Z90,1.544785370529439,2011
M2Z91,0.6694728583582723,2011
M2Z92,-0.00800354583967644,2011
N0Z90,0.5682964254389605,2011
N0Z91,-0.6238631551263502,2011
Q0Z60,-0.9928772896061293,2011
Q1Z80,-0.6543725951738185,2011
Q1Z81,0.009447029516860384,2011
Q2Z90,-0.7135771599197787,2011
Q2Z91,-0.2597418173007576,2011
R0Z60,-1.004282940751777,2011
R0Z61,-1.264604486001071,2011
R1Z60,-0.381260410129761,2011
R1Z61,-0.2529114461265024,2011
R1Z62,-0.6089074302509165,2011
R1Z63,-0.1384108202265424,2011
R1Z67,0.5903413031884528,2011
R2Z80,0.4816913846883331,2011
R2Z83,1.226893630459146,2011
R3Z80,0.3669992364456421,2011
R3Z82,-0.2213239150724346,2011
R4Z90,-0.03068711350227241,2011
R4Z91,0.9642255345593703,2011
R4Z92,0.1578017968951469,2011
R4Z93,0.6784741895130485,2011
S0Z20,0.2021845481395606,2011
S0Z40,1.18152367418809,2011
S0Z41,0.8007773597254468,2011
S0Z42,0.5192891413699133,2011
