"code_reg","FAP_3","emp_fap_reg","emp_reg","variable","nom_reg","GID","var_classe","REG","emp_fap_reg2","pourcentage"
102,"R0Z","2187.17","129619.25","1.6874","Martinique","Dom____","1,5 - 2,0","2",2187.17,0.00671879930902812
103,"R0Z","806.70","68798.00","1.1726","Guyane","Dom____","1,0 - 1,5","3",806.7,0.00247811345372924
104,"R0Z","4318.96","260932.19","1.6552","La Réunion","Dom____","1,5 - 2,0","4",4318.96,0.0132674759912216
106,"R0Z","2.61","438.45","0.5949","Mayotte","Dom____","0,5 - 0,75","6",2.61,8.01769693099457e-06
11,"R0Z","57962.85","5730403.41","1.0115","Île-de-France","FRA.8_1","1,0 - 1,5","11",57962.85,0.178056921286091
24,"R0Z","12049.30","975024.95","1.2358","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",12049.3,0.0370144197818517
27,"R0Z","14286.35","1070586.35","1.3344","Bourgogne-Franche-Comté","FRA.2_1","1,0 - 1,5","27",14286.35,0.0438864461877832
28,"R0Z","16584.40","1269386.93","1.3065","Normandie","FRA.9_1","1,0 - 1,5","28",16584.4,0.0509458593802247
32,"R0Z","30971.26","2109995.91","1.4678","Hauts-de-France","FRA.7_1","1,0 - 1,5","32",30971.26,0.0951410636977145
44,"R0Z","26617.98","2060125.53","1.2921","Grand Est","FRA.6_1","1,0 - 1,5","44",26617.98,0.0817681595997222
52,"R0Z","18296.83","1530280.18","1.1957","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",18296.83,0.056206297983881
53,"R0Z","15168.95","1308549.40","1.1592","Bretagne","FRA.3_1","1,0 - 1,5","53",15168.95,0.0465977179545633
75,"R0Z","30265.97","2326392.53","1.3010","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",30265.97,0.0929744730967715
76,"R0Z","27315.87","2211951.10","1.2349","Occitanie","FRA.11_1","1,0 - 1,5","76",27315.87,0.0839120180331213
84,"R0Z","38006.20","3200845.62","1.1874","Auvergne-Rhône-Alpes","FRA.1_1","1,0 - 1,5","84",38006.2,0.116751798122132
93,"R0Z","26099.28","1900656.30","1.3732","Provence-Alpes-Côte d'Azur","FRA.13_1","1,0 - 1,5","93",26099.28,0.080174757531482
94,"R0Z","2331.61","131710.37","1.7703","Corse","FRA.5_1","1,5 - 2,0","94",2331.61,0.00716250664416715
101,"R1Z","3802.95","126983.02","2.9949","Guadeloupe","Dom____","2,5 - 3,0","1",3802.95,0.00462452391128575
102,"R1Z","3884.65","129619.25","2.9970","Martinique","Dom____","2,5 - 3,0","2",3884.65,0.00472387404829835
103,"R1Z","1351.62","68798.00","1.9646","Guyane","Dom____","1,5 - 2,0","3",1351.62,0.00164361850904483
104,"R1Z","8667.65","260932.19","3.3218","La Réunion","Dom____","3,0 - 3,5","4",8667.65,0.0105401739911532
106,"R1Z","2.50","438.45","0.5703","Mayotte","Dom____","0,5 - 0,75","6",2.5,3.04008987186641e-06
11,"R1Z","152073.08","5730403.41","2.6538","Île-de-France","FRA.8_1","2,5 - 3,0","11",152073.08,0.184926332116612
24,"R1Z","29795.91","975024.95","3.0559","Centre-Val de Loire","FRA.4_1","3,0 - 3,5","24",29795.91,0.0362328976856173
27,"R1Z","35500.69","1070586.35","3.3160","Bourgogne-Franche-Comté","FRA.2_1","3,0 - 3,5","27",35500.69,0.0431701152453077
28,"R1Z","41216.45","1269386.93","3.2470","Normandie","FRA.9_1","3,0 - 3,5","28",41216.45,0.0501206848797154
32,"R1Z","69332.27","2109995.91","3.2859","Hauts-de-France","FRA.7_1","3,0 - 3,5","32",69332.27,0.084310532728203
44,"R1Z","72962.79","2060125.53","3.5417","Grand Est","FRA.6_1","3,5 - 4,0","44",72962.79,0.0887253755608464
52,"R1Z","48475.39","1530280.18","3.1677","Pays de la Loire","FRA.12_1","3,0 - 3,5","52",48475.39,0.0589478168695098
53,"R1Z","42554.54","1308549.40","3.2520","Bretagne","FRA.3_1","3,0 - 3,5","53",42554.54,0.0517478504223737
75,"R1Z","76249.01","2326392.53","3.2776","Nouvelle-Aquitaine","FRA.10_1","3,0 - 3,5","75",76249.01,0.0927215372163364
76,"R1Z","67841.91","2211951.10","3.0671","Occitanie","FRA.11_1","3,0 - 3,5","76",67841.91,0.0824982013916291
84,"R1Z","101281.81","3200845.62","3.1642","Auvergne-Rhône-Alpes","FRA.1_1","3,0 - 3,5","84",101281.81,0.123162321914119
93,"R1Z","62108.10","1900656.30","3.2677","Provence-Alpes-Côte d'Azur","FRA.13_1","3,0 - 3,5","93",62108.1,0.0755256823083466
94,"R1Z","5242.79","131710.37","3.9805","Corse","FRA.5_1","3,5 - 4,0","94",5242.79,0.00637542111172901
101,"R2Z","2652.72","126983.02","2.0890","Guadeloupe","Dom____","2,0 - 2,5","1",2652.72,0.00429847133595715
102,"R2Z","2470.93","129619.25","1.9063","Martinique","Dom____","1,5 - 2,0","2",2470.93,0.00400389855625796
103,"R2Z","938.51","68798.00","1.3642","Guyane","Dom____","1,0 - 1,5","3",938.51,0.00152076296537484
104,"R2Z","4883.13","260932.19","1.8714","La Réunion","Dom____","1,5 - 2,0","4",4883.13,0.00791263093532391
11,"R2Z","137021.36","5730403.41","2.3911","Île-de-France","FRA.8_1","2,0 - 2,5","11",137021.36,0.222029610503131
24,"R2Z","21649.29","975024.95","2.2204","Centre-Val de Loire","FRA.4_1","2,0 - 2,5","24",21649.29,0.0350805409198196
27,"R2Z","22327.58","1070586.35","2.0855","Bourgogne-Franche-Comté","FRA.2_1","2,0 - 2,5","27",22327.58,0.036179643019727
28,"R2Z","27634.86","1269386.93","2.1770","Normandie","FRA.9_1","2,0 - 2,5","28",27634.86,0.0447795672303103
32,"R2Z","43695.28","2109995.91","2.0709","Hauts-de-France","FRA.7_1","2,0 - 2,5","32",43695.28,0.0708038950950804
44,"R2Z","46645.90","2060125.53","2.2642","Grand Est","FRA.6_1","2,0 - 2,5","44",46645.9,0.0755850840231625
52,"R2Z","39800.65","1530280.18","2.6009","Pays de la Loire","FRA.12_1","2,5 - 3,0","52",39800.65,0.0644930309936454
53,"R2Z","30841.10","1308549.40","2.3569","Bretagne","FRA.3_1","2,0 - 2,5","53",30841.1,0.0499749631771872
75,"R2Z","55108.34","2326392.53","2.3688","Nouvelle-Aquitaine","FRA.10_1","2,0 - 2,5","75",55108.34,0.0892976340745276
76,"R2Z","51573.15","2211951.10","2.3316","Occitanie","FRA.11_1","2,0 - 2,5","76",51573.15,0.0835692070704856
84,"R2Z","79342.66","3200845.62","2.4788","Auvergne-Rhône-Alpes","FRA.1_1","2,0 - 2,5","84",79342.66,0.128566961356115
93,"R2Z","47897.19","1900656.30","2.5200","Provence-Alpes-Côte d'Azur","FRA.13_1","2,5 - 3,0","93",47897.19,0.0776126761542468
94,"R2Z","2648.37","131710.37","2.0108","Corse","FRA.5_1","2,0 - 2,5","94",2648.37,0.00429142258964717
101,"R3Z","3121.44","126983.02","2.4582","Guadeloupe","Dom____","2,0 - 2,5","1",3121.44,0.00557927121574076
102,"R3Z","2587.03","129619.25","1.9959","Martinique","Dom____","1,5 - 2,0","2",2587.03,0.00462406517929475
103,"R3Z","1353.95","68798.00","1.9680","Guyane","Dom____","1,5 - 2,0","3",1353.95,0.00242005428986372
104,"R3Z","6277.85","260932.19","2.4059","La Réunion","Dom____","2,0 - 2,5","4",6277.85,0.0112210479143402
106,"R3Z","7.58","438.45","1.7295","Mayotte","Dom____","1,5 - 2,0","6",7.58,1.35485147288799e-05
11,"R3Z","113941.88","5730403.41","1.9884","Île-de-France","FRA.8_1","1,5 - 2,0","11",113941.88,0.203660057970484
24,"R3Z","19158.82","975024.95","1.9650","Centre-Val de Loire","FRA.4_1","1,5 - 2,0","24",19158.82,0.0342445323163535
27,"R3Z","22786.22","1070586.35","2.1284","Bourgogne-Franche-Comté","FRA.2_1","2,0 - 2,5","27",22786.22,0.040728157953232
28,"R3Z","26038.19","1269386.93","2.0512","Normandie","FRA.9_1","2,0 - 2,5","28",26038.19,0.0465407388823712
32,"R3Z","40917.24","2109995.91","1.9392","Hauts-de-France","FRA.7_1","1,5 - 2,0","32",40917.24,0.0731355974676932
44,"R3Z","39876.56","2060125.53","1.9356","Grand Est","FRA.6_1","1,5 - 2,0","44",39876.56,0.0712754829151799
52,"R3Z","30267.48","1530280.18","1.9779","Pays de la Loire","FRA.12_1","1,5 - 2,0","52",30267.48,0.0541001845100367
53,"R3Z","28472.83","1308549.40","2.1759","Bretagne","FRA.3_1","2,0 - 2,5","53",28472.83,0.0508924217187195
75,"R3Z","51570.21","2326392.53","2.2167","Nouvelle-Aquitaine","FRA.10_1","2,0 - 2,5","75",51570.21,0.092176747988975
76,"R3Z","52490.92","2211951.10","2.3731","Occitanie","FRA.11_1","2,0 - 2,5","76",52490.92,0.0938224278037543
84,"R3Z","70834.45","3200845.62","2.2130","Auvergne-Rhône-Alpes","FRA.1_1","2,0 - 2,5","84",70834.45,0.126609708329434
93,"R3Z","46365.10","1900656.30","2.4394","Provence-Alpes-Côte d'Azur","FRA.13_1","2,0 - 2,5","93",46365.1,0.0828731187672811
94,"R3Z","3403.17","131710.37","2.5838","Corse","FRA.5_1","2,5 - 3,0","94",3403.17,0.00608283626251745
101,"R4Z","775.37","126983.02","0.6106","Guadeloupe","Dom____","0,5 - 0,75","1",775.37,0.00172648632922402
102,"R4Z","918.94","129619.25","0.7090","Martinique","Dom____","0,5 - 0,75","2",918.94,0.00204616808411097
103,"R4Z","321.78","68798.00","0.4677","Guyane","Dom____","0,25 - 0,5","3",321.78,0.000716495055286774
104,"R4Z","1797.55","260932.19","0.6889","La Réunion","Dom____","0,5 - 0,75","4",1797.55,0.0040025349202273
11,"R4Z","170088.91","5730403.41","2.9682","Île-de-France","FRA.8_1","2,5 - 3,0","11",170088.91,0.378730384032933
24,"R4Z","11302.63","975024.95","1.1592","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",11302.63,0.0251671281830317
27,"R4Z","11288.94","1070586.35","1.0545","Bourgogne-Franche-Comté","FRA.2_1","1,0 - 1,5","27",11288.94,0.0251366451905932
28,"R4Z","12325.00","1269386.93","0.9709","Normandie","FRA.9_1","0,75 - 1,0","28",12325,0.0274435998396715
32,"R4Z","27984.48","2109995.91","1.3263","Hauts-de-France","FRA.7_1","1,0 - 1,5","32",27984.48,0.0623119570662304
44,"R4Z","25504.78","2060125.53","1.2380","Grand Est","FRA.6_1","1,0 - 1,5","44",25504.78,0.0567905051780005
52,"R4Z","21599.50","1530280.18","1.4115","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",21599.5,0.0480947695526965
53,"R4Z","16135.06","1308549.40","1.2330","Bretagne","FRA.3_1","1,0 - 1,5","53",16135.06,0.0359273127812649
75,"R4Z","29798.42","2326392.53","1.2809","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",29798.42,0.0663509869642567
76,"R4Z","31435.41","2211951.10","1.4212","Occitanie","FRA.11_1","1,0 - 1,5","76",31435.41,0.0699960091550513
84,"R4Z","56494.33","3200845.62","1.7650","Auvergne-Rhône-Alpes","FRA.1_1","1,5 - 2,0","84",56494.33,0.125793735150535
93,"R4Z","30372.89","1900656.30","1.5980","Provence-Alpes-Côte d'Azur","FRA.13_1","1,5 - 2,0","93",30372.89,0.0676301370494409
94,"R4Z","958.90","131710.37","0.7280","Corse","FRA.5_1","0,5 - 0,75","94",958.9,0.00213514546744511
101,"S0Z","1097.34","126983.02","0.8642","Guadeloupe","Dom____","0,75 - 1,0","1",1097.34,0.00452395974568794
102,"S0Z","902.90","129619.25","0.6966","Martinique","Dom____","0,5 - 0,75","2",902.9,0.00372234973151589
103,"S0Z","322.85","68798.00","0.4693","Guyane","Dom____","0,25 - 0,5","3",322.85,0.00133100078726316
104,"S0Z","2255.67","260932.19","0.8645","La Réunion","Dom____","0,75 - 1,0","4",2255.67,0.00929936052595907
11,"S0Z","28962.48","5730403.41","0.5054","Île-de-France","FRA.8_1","0,5 - 0,75","11",28962.48,0.11940245835866
24,"S0Z","9798.57","975024.95","1.0050","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",9798.57,0.0403961727862882
27,"S0Z","11204.25","1070586.35","1.0466","Bourgogne-Franche-Comté","FRA.2_1","1,0 - 1,5","27",11204.25,0.0461913135223578
28,"S0Z","15319.32","1269386.93","1.2068","Normandie","FRA.9_1","1,0 - 1,5","28",15319.32,0.0631563480883885
32,"S0Z","19604.72","2109995.91","0.9291","Hauts-de-France","FRA.7_1","0,75 - 1,0","32",19604.72,0.0808235953355235
44,"S0Z","20967.38","2060125.53","1.0178","Grand Est","FRA.6_1","1,0 - 1,5","44",20967.38,0.0864413792375586
52,"S0Z","19439.37","1530280.18","1.2703","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",19439.37,0.0801419135013158
53,"S0Z","20320.26","1308549.40","1.5529","Bretagne","FRA.3_1","1,5 - 2,0","53",20320.26,0.0837735234858047
75,"S0Z","24876.99","2326392.53","1.0693","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",24876.99,0.102559372076003
76,"S0Z","20735.57","2211951.10","0.9374","Occitanie","FRA.11_1","0,75 - 1,0","76",20735.57,0.0854857054184615
84,"S0Z","29491.73","3200845.62","0.9214","Auvergne-Rhône-Alpes","FRA.1_1","0,75 - 1,0","84",29491.73,0.121584376173927
93,"S0Z","15727.78","1900656.30","0.8275","Provence-Alpes-Côte d'Azur","FRA.13_1","0,75 - 1,0","93",15727.78,0.0648402897999125
94,"S0Z","1534.66","131710.37","1.1652","Corse","FRA.5_1","1,0 - 1,5","94",1534.66,0.00632688142537177
101,"S1Z","2013.58","126983.02","1.5857","Guadeloupe","Dom____","1,5 - 2,0","1",2013.58,0.00556950450251724
102,"S1Z","2230.37","129619.25","1.7207","Martinique","Dom____","1,5 - 2,0","2",2230.37,0.00616913942196455
103,"S1Z","992.26","68798.00","1.4423","Guyane","Dom____","1,0 - 1,5","3",992.26,0.00274456268818113
104,"S1Z","3560.70","260932.19","1.3646","La Réunion","Dom____","1,0 - 1,5","4",3560.7,0.00984879402959562
11,"S1Z","87700.18","5730403.41","1.5304","Île-de-France","FRA.8_1","1,5 - 2,0","11",87700.18,0.242576181418952
24,"S1Z","11967.51","975024.95","1.2274","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",11967.51,0.0331017892653483
27,"S1Z","13183.77","1070586.35","1.2315","Bourgogne-Franche-Comté","FRA.2_1","1,0 - 1,5","27",13183.77,0.0364659295260937
28,"S1Z","16216.52","1269386.93","1.2775","Normandie","FRA.9_1","1,0 - 1,5","28",16216.52,0.044854429004639
32,"S1Z","25849.70","2109995.91","1.2251","Hauts-de-France","FRA.7_1","1,0 - 1,5","32",25849.7,0.0714995284710416
44,"S1Z","28465.70","2060125.53","1.3817","Grand Est","FRA.6_1","1,0 - 1,5","44",28465.7,0.0787353094077737
52,"S1Z","17923.44","1530280.18","1.1713","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",17923.44,0.0495757207464305
53,"S1Z","17254.34","1308549.40","1.3186","Bretagne","FRA.3_1","1,0 - 1,5","53",17254.34,0.0477250093455255
75,"S1Z","30821.95","2326392.53","1.3249","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",30821.95,0.0852526292977489
76,"S1Z","29645.40","2211951.10","1.3402","Occitanie","FRA.11_1","1,0 - 1,5","76",29645.4,0.0819983257575684
84,"S1Z","41983.33","3200845.62","1.3116","Auvergne-Rhône-Alpes","FRA.1_1","1,0 - 1,5","84",41983.33,0.116124686114119
93,"S1Z","29901.55","1900656.30","1.5732","Provence-Alpes-Côte d'Azur","FRA.13_1","1,5 - 2,0","93",29901.55,0.0827068293076234
94,"S1Z","1826.35","131710.37","1.3866","Corse","FRA.5_1","1,0 - 1,5","94",1826.35,0.00505163169487796
101,"S2Z","1936.61","126983.02","1.5251","Guadeloupe","Dom____","1,5 - 2,0","1",1936.61,0.00477598110688253
102,"S2Z","1856.92","129619.25","1.4326","Martinique","Dom____","1,0 - 1,5","2",1856.92,0.00457945318726657
103,"S2Z","770.57","68798.00","1.1200","Guyane","Dom____","1,0 - 1,5","3",770.57,0.00190034532586864
104,"S2Z","3193.24","260932.19","1.2238","La Réunion","Dom____","1,0 - 1,5","4",3193.24,0.00787502590079653
106,"S2Z","5.09","438.45","1.1612","Mayotte","Dom____","1,0 - 1,5","6",5.09,1.25527307170943e-05
11,"S2Z","106969.17","5730403.41","1.8667","Île-de-France","FRA.8_1","1,5 - 2,0","11",106969.17,0.263802590577817
24,"S2Z","12366.79","975024.95","1.2684","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",12366.79,0.0304984252858262
27,"S2Z","14103.96","1070586.35","1.3174","Bourgogne-Franche-Comté","FRA.2_1","1,0 - 1,5","27",14103.96,0.0347825563702692
28,"S2Z","18284.83","1269386.93","1.4404","Normandie","FRA.9_1","1,0 - 1,5","28",18284.83,0.045093231276591
32,"S2Z","26686.19","2109995.91","1.2648","Hauts-de-France","FRA.7_1","1,0 - 1,5","32",26686.19,0.0658122901640896
44,"S2Z","29867.57","2060125.53","1.4498","Grand Est","FRA.6_1","1,0 - 1,5","44",29867.57,0.0736580674624687
52,"S2Z","19284.89","1530280.18","1.2602","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",19284.89,0.0475595345930817
53,"S2Z","18690.06","1308549.40","1.4283","Bretagne","FRA.3_1","1,0 - 1,5","53",18690.06,0.0460925914079246
75,"S2Z","32268.54","2326392.53","1.3871","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",32268.54,0.079579232466363
76,"S2Z","31397.21","2211951.10","1.4194","Occitanie","FRA.11_1","1,0 - 1,5","76",31397.21,0.0774303973277135
84,"S2Z","47572.09","3200845.62","1.4862","Auvergne-Rhône-Alpes","FRA.1_1","1,0 - 1,5","84",47572.09,0.117320164129544
93,"S2Z","37375.20","1900656.30","1.9664","Provence-Alpes-Côte d'Azur","FRA.13_1","1,5 - 2,0","93",37375.2,0.0921730493315412
94,"S2Z","2860.53","131710.37","2.1718","Corse","FRA.5_1","2,0 - 2,5","94",2860.53,0.00705451135523967
101,"S3Z","1427.10","126983.02","1.1238","Guadeloupe","Dom____","1,0 - 1,5","1",1427.1,0.00723832070756703
102,"S3Z","974.68","129619.25","0.7520","Martinique","Dom____","0,75 - 1,0","2",974.68,0.00494362443224121
103,"S3Z","552.00","68798.00","0.8024","Guyane","Dom____","0,75 - 1,0","3",552,0.00279977088541588
104,"S3Z","2097.26","260932.19","0.8038","La Réunion","Dom____","0,75 - 1,0","4",2097.26,0.0106374048680205
106,"S3Z","2.50","438.45","0.5703","Mayotte","Dom____","0,5 - 0,75","6",2.5,1.26801217636589e-05
11,"S3Z","33451.33","5730403.41","0.5838","Île-de-France","FRA.8_1","0,5 - 0,75","11",33451.33,0.169666775022534
24,"S3Z","6365.46","975024.95","0.6529","Centre-Val de Loire","FRA.4_1","0,5 - 0,75","24",6365.46,0.03228592315268
27,"S3Z","7574.50","1070586.35","0.7075","Bourgogne-Franche-Comté","FRA.2_1","0,5 - 0,75","27",7574.5,0.0384182329195336
28,"S3Z","9014.50","1269386.93","0.7101","Normandie","FRA.9_1","0,5 - 0,75","28",9014.5,0.0457219830554011
32,"S3Z","11578.01","2109995.91","0.5487","Hauts-de-France","FRA.7_1","0,5 - 0,75","32",11578.01,0.058724230632344
44,"S3Z","12501.99","2060125.53","0.6069","Grand Est","FRA.6_1","0,5 - 0,75","44",12501.99,0.0634107021952182
52,"S3Z","10382.07","1530280.18","0.6784","Pays de la Loire","FRA.12_1","0,5 - 0,75","52",10382.07,0.0526583647035319
53,"S3Z","12015.75","1308549.40","0.9182","Bretagne","FRA.3_1","0,75 - 1,0","53",12015.75,0.0609444692326736
75,"S3Z","19716.23","2326392.53","0.8475","Nouvelle-Aquitaine","FRA.10_1","0,75 - 1,0","75",19716.23,0.100001678848122
76,"S3Z","21480.54","2211951.10","0.9711","Occitanie","FRA.11_1","0,75 - 1,0","76",21480.54,0.108950345099658
84,"S3Z","26455.58","3200845.62","0.8265","Auvergne-Rhône-Alpes","FRA.1_1","0,75 - 1,0","84",26455.58,0.134183990291287
93,"S3Z","19181.45","1900656.30","1.0092","Provence-Alpes-Côte d'Azur","FRA.13_1","1,0 - 1,5","93",19181.45,0.0972892486414137
94,"S3Z","2388.04","131710.37","1.8131","Corse","FRA.5_1","1,5 - 2,0","94",2388.04,0.0121122551905952
101,"T0Z","1100.52","126983.02","0.8667","Guadeloupe","Dom____","0,75 - 1,0","1",1100.52,0.00469423991613054
102,"T0Z","1022.18","129619.25","0.7886","Martinique","Dom____","0,75 - 1,0","2",1022.18,0.00436008264953868
103,"T0Z","426.37","68798.00","0.6197","Guyane","Dom____","0,5 - 0,75","3",426.37,0.0018186703313348
104,"T0Z","2336.97","260932.19","0.8956","La Réunion","Dom____","0,75 - 1,0","4",2336.97,0.00996828577108965
11,"T0Z","37200.97","5730403.41","0.6492","Île-de-France","FRA.8_1","0,5 - 0,75","11",37200.97,0.158679786185417
24,"T0Z","9027.47","975024.95","0.9259","Centre-Val de Loire","FRA.4_1","0,75 - 1,0","24",9027.47,0.0385064424232826
27,"T0Z","10156.52","1070586.35","0.9487","Bourgogne-Franche-Comté","FRA.2_1","0,75 - 1,0","27",10156.52,0.0433223763248084
28,"T0Z","12312.89","1269386.93","0.9700","Normandie","FRA.9_1","0,75 - 1,0","28",12312.89,0.0525203174144264
32,"T0Z","18829.20","2109995.91","0.8924","Hauts-de-France","FRA.7_1","0,75 - 1,0","32",18829.2,0.0803154710762231
44,"T0Z","20525.81","2060125.53","0.9963","Grand Est","FRA.6_1","0,75 - 1,0","44",20525.81,0.087552317643397
52,"T0Z","13939.76","1530280.18","0.9109","Pays de la Loire","FRA.12_1","0,75 - 1,0","52",13939.76,0.0594596897950785
53,"T0Z","11132.40","1308549.40","0.8507","Bretagne","FRA.3_1","0,75 - 1,0","53",11132.4,0.0474849675083884
75,"T0Z","23494.72","2326392.53","1.0099","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",23494.72,0.100216127323729
76,"T0Z","21813.64","2211951.10","0.9862","Occitanie","FRA.11_1","0,75 - 1,0","76",21813.64,0.0930455235744027
84,"T0Z","29271.68","3200845.62","0.9145","Auvergne-Rhône-Alpes","FRA.1_1","0,75 - 1,0","84",29271.68,0.124857602468106
93,"T0Z","20001.05","1900656.30","1.0523","Provence-Alpes-Côte d'Azur","FRA.13_1","1,0 - 1,5","93",20001.05,0.085313967283214
94,"T0Z","1848.36","131710.37","1.4034","Corse","FRA.5_1","1,0 - 1,5","94",1848.36,0.00788413231143372
101,"T1Z","749.54","126983.02","0.5903","Guadeloupe","Dom____","0,5 - 0,75","1",749.54,0.00747191502388842
102,"T1Z","579.67","129619.25","0.4472","Martinique","Dom____","0,25 - 0,5","2",579.67,0.00577853747885023
103,"T1Z","286.29","68798.00","0.4161","Guyane","Dom____","0,25 - 0,5","3",286.29,0.00285392981320412
104,"T1Z","2456.95","260932.19","0.9416","La Réunion","Dom____","0,75 - 1,0","4",2456.95,0.0244925175680319
106,"T1Z","3.19","438.45","0.7275","Mayotte","Dom____","0,5 - 0,75","6",3.19,3.18000492651547e-05
11,"T1Z","28881.85","5730403.41","0.5040","Île-de-France","FRA.8_1","0,5 - 0,75","11",28881.85,0.287913558893043
24,"T1Z","3385.43","975024.95","0.3472","Centre-Val de Loire","FRA.4_1","0,25 - 0,5","24",3385.43,0.0337482259510134
27,"T1Z","2761.45","1070586.35","0.2579","Bourgogne-Franche-Comté","FRA.2_1","0,25 - 0,5","27",2761.45,0.0275279768160694
28,"T1Z","5115.22","1269386.93","0.4030","Normandie","FRA.9_1","0,25 - 0,5","28",5115.22,0.050991927273387
32,"T1Z","8215.91","2109995.91","0.3894","Hauts-de-France","FRA.7_1","0,25 - 0,5","32",8215.91,0.0819016748457922
44,"T1Z","6977.22","2060125.53","0.3387","Grand Est","FRA.6_1","0,25 - 0,5","44",6977.22,0.0695535861234554
52,"T1Z","4246.11","1530280.18","0.2775","Pays de la Loire","FRA.12_1","0,25 - 0,5","52",4246.11,0.0423280586787668
53,"T1Z","3297.28","1308549.40","0.2520","Bretagne","FRA.3_1","0,25 - 0,5","53",3297.28,0.0328694879125421
75,"T1Z","9175.52","2326392.53","0.3944","Nouvelle-Aquitaine","FRA.10_1","0,25 - 0,5","75",9175.52,0.0914677078474646
76,"T1Z","6159.24","2211951.10","0.2785","Occitanie","FRA.11_1","0,25 - 0,5","76",6159.24,0.0613994154971509
84,"T1Z","10150.87","3200845.62","0.3171","Auvergne-Rhône-Alpes","FRA.1_1","0,25 - 0,5","84",10150.87,0.101190647675292
93,"T1Z","7330.02","1900656.30","0.3857","Provence-Alpes-Côte d'Azur","FRA.13_1","0,25 - 0,5","93",7330.02,0.0730705320108367
94,"T1Z","542.55","131710.37","0.4119","Corse","FRA.5_1","0,25 - 0,5","94",542.55,0.00540850054194661
101,"T2A","3524.05","126983.02","2.7752","Guadeloupe","Dom____","2,5 - 3,0","1",3524.05,0.00696786296756955
102,"T2A","5036.15","129619.25","3.8853","Martinique","Dom____","3,5 - 4,0","2",5036.15,0.00995763484744126
103,"T2A","698.79","68798.00","1.0157","Guyane","Dom____","1,0 - 1,5","3",698.79,0.00138166965937144
104,"T2A","8695.13","260932.19","3.3323","La Réunion","Dom____","3,0 - 3,5","4",8695.13,0.0171922856727921
11,"T2A","62696.56","5730403.41","1.0941","Île-de-France","FRA.8_1","1,0 - 1,5","11",62696.56,0.123965618710859
24,"T2A","20249.87","975024.95","2.0769","Centre-Val de Loire","FRA.4_1","2,0 - 2,5","24",20249.87,0.0400386825587314
27,"T2A","21846.40","1070586.35","2.0406","Bourgogne-Franche-Comté","FRA.2_1","2,0 - 2,5","27",21846.4,0.0431953921013355
28,"T2A","29310.43","1269386.93","2.3090","Normandie","FRA.9_1","2,0 - 2,5","28",29310.43,0.0579535079696768
32,"T2A","48964.44","2109995.91","2.3206","Hauts-de-France","FRA.7_1","2,0 - 2,5","32",48964.44,0.096814037316094
44,"T2A","37579.85","2060125.53","1.8242","Grand Est","FRA.6_1","1,5 - 2,0","44",37579.85,0.0743040663843641
52,"T2A","27591.42","1530280.18","1.8030","Pays de la Loire","FRA.12_1","1,5 - 2,0","52",27591.42,0.0545546271025263
53,"T2A","26657.88","1308549.40","2.0372","Bretagne","FRA.3_1","2,0 - 2,5","53",26657.88,0.0527088023285461
75,"T2A","57915.15","2326392.53","2.4895","Nouvelle-Aquitaine","FRA.10_1","2,0 - 2,5","75",57915.15,0.114511663837413
76,"T2A","54088.00","2211951.10","2.4453","Occitanie","FRA.11_1","2,0 - 2,5","76",54088,0.106944501976391
84,"T2A","56637.86","3200845.62","1.7695","Auvergne-Rhône-Alpes","FRA.1_1","1,5 - 2,0","84",56637.86,0.111986165706045
93,"T2A","41469.44","1900656.30","2.1818","Provence-Alpes-Côte d'Azur","FRA.13_1","2,0 - 2,5","93",41469.44,0.0819946865855613
94,"T2A","2796.23","131710.37","2.1230","Corse","FRA.5_1","2,0 - 2,5","94",2796.23,0.00552879427528185
101,"T2B","1003.76","126983.02","0.7905","Guadeloupe","Dom____","0,75 - 1,0","1",1003.76,0.00250863881626717
102,"T2B","1115.78","129619.25","0.8608","Martinique","Dom____","0,75 - 1,0","2",1115.78,0.00278860386787139
103,"T2B","564.24","68798.00","0.8201","Guyane","Dom____","0,75 - 1,0","3",564.24,0.00141017211852494
104,"T2B","3055.53","260932.19","1.1710","La Réunion","Dom____","1,0 - 1,5","4",3055.53,0.00763650789259269
11,"T2B","71678.07","5730403.41","1.2508","Île-de-France","FRA.8_1","1,0 - 1,5","11",71678.07,0.179140819196935
