"code_reg","FAP_3","emp_fap_reg","emp_reg","variable","nom_reg","GID","var_classe","REG","emp_fap_reg2","pourcentage"
106,"P1Z","22.16","438.45","5.0540","Mayotte","Dom____","5,0 - 7,5","6",22.16,4.46551961922821e-05
11,"P1Z","108636.47","5730403.41","1.8958","Île-de-France","FRA.8_1","1,5 - 2,0","11",108636.47,0.21891619501295
24,"P1Z","18242.74","975024.95","1.8710","Centre-Val de Loire","FRA.4_1","1,5 - 2,0","24",18242.74,0.0367614230047289
27,"P1Z","20800.94","1070586.35","1.9429","Bourgogne-Franche-Comté","FRA.2_1","1,5 - 2,0","27",20800.94,0.0419165188034245
28,"P1Z","23987.92","1269386.93","1.8897","Normandie","FRA.9_1","1,5 - 2,0","28",23987.92,0.0483386856428144
32,"P1Z","40512.45","2109995.91","1.9200","Hauts-de-France","FRA.7_1","1,5 - 2,0","32",40512.45,0.081637698690434
44,"P1Z","39720.55","2060125.53","1.9281","Grand Est","FRA.6_1","1,5 - 2,0","44",39720.55,0.0800419202669381
52,"P1Z","24062.98","1530280.18","1.5725","Pays de la Loire","FRA.12_1","1,5 - 2,0","52",24062.98,0.0484899410140325
53,"P1Z","23781.34","1308549.40","1.8174","Bretagne","FRA.3_1","1,5 - 2,0","53",23781.34,0.0479224008761446
75,"P1Z","45014.79","2326392.53","1.9350","Nouvelle-Aquitaine","FRA.10_1","1,5 - 2,0","75",45014.79,0.0907104819045296
76,"P1Z","42759.53","2211951.10","1.9331","Occitanie","FRA.11_1","1,5 - 2,0","76",42759.53,0.0861658484313976
84,"P1Z","54579.45","3200845.62","1.7052","Auvergne-Rhône-Alpes","FRA.1_1","1,5 - 2,0","84",54579.45,0.109984478692096
93,"P1Z","37535.16","1900656.30","1.9749","Provence-Alpes-Côte d'Azur","FRA.13_1","1,5 - 2,0","93",37535.16,0.0756380836601398
94,"P1Z","3319.11","131710.37","2.5200","Corse","FRA.5_1","2,5 - 3,0","94",3319.11,0.00668842546181251
101,"P2Z","2849.27","126983.02","2.2438","Guadeloupe","Dom____","2,0 - 2,5","1",2849.27,0.0053651479872264
102,"P2Z","3344.18","129619.25","2.5800","Martinique","Dom____","2,5 - 3,0","2",3344.18,0.00629705875396953
103,"P2Z","2268.25","68798.00","3.2970","Guyane","Dom____","3,0 - 3,5","3",2268.25,0.00427109291924818
104,"P2Z","5039.04","260932.19","1.9312","La Réunion","Dom____","1,5 - 2,0","4",5039.04,0.00948846382180464
106,"P2Z","15.66","438.45","3.5722","Mayotte","Dom____","3,5 - 4,0","6",15.66,2.94876292804702e-05
11,"P2Z","159117.54","5730403.41","2.7767","Île-de-France","FRA.8_1","2,5 - 3,0","11",159117.54,0.299616796394661
24,"P2Z","16704.93","975024.95","1.7133","Centre-Val de Loire","FRA.4_1","1,5 - 2,0","24",16704.93,0.0314552224135508
27,"P2Z","17877.10","1070586.35","1.6698","Bourgogne-Franche-Comté","FRA.2_1","1,5 - 2,0","27",17877.1,0.0336624072420111
28,"P2Z","19115.75","1269386.93","1.5059","Normandie","FRA.9_1","1,5 - 2,0","28",19115.75,0.0359947732706353
32,"P2Z","35467.50","2109995.91","1.6809","Hauts-de-France","FRA.7_1","1,5 - 2,0","32",35467.5,0.0667849611433638
44,"P2Z","37767.11","2060125.53","1.8332","Grand Est","FRA.6_1","1,5 - 2,0","44",37767.11,0.0711151046407879
52,"P2Z","22993.13","1530280.18","1.5025","Pays de la Loire","FRA.12_1","1,5 - 2,0","52",22993.13,0.0432958424928262
53,"P2Z","26128.32","1308549.40","1.9967","Bretagne","FRA.3_1","1,5 - 2,0","53",26128.32,0.0491993750882181
75,"P2Z","43513.24","2326392.53","1.8704","Nouvelle-Aquitaine","FRA.10_1","1,5 - 2,0","75",43513.24,0.0819350121272112
76,"P2Z","42382.06","2211951.10","1.9160","Occitanie","FRA.11_1","1,5 - 2,0","76",42382.06,0.079805011074243
84,"P2Z","53013.76","3200845.62","1.6562","Auvergne-Rhône-Alpes","FRA.1_1","1,5 - 2,0","84",53013.76,0.0998243998495415
93,"P2Z","39968.02","1900656.30","2.1029","Provence-Alpes-Côte d'Azur","FRA.13_1","2,0 - 2,5","93",39968.02,0.0752593969881493
94,"P2Z","3505.30","131710.37","2.6614","Corse","FRA.5_1","2,5 - 3,0","94",3505.3,0.00660044616327153
101,"P3Z","372.18","126983.02","0.2931","Guadeloupe","Dom____","0,25 - 0,5","1",372.18,0.00358636936810018
102,"P3Z","377.18","129619.25","0.2910","Martinique","Dom____","0,25 - 0,5","2",377.18,0.00363454994427435
103,"P3Z","120.36","68798.00","0.1749","Guyane","Dom____","0,1 - 0,25","3",120.36,0.00115980282966451
104,"P3Z","574.53","260932.19","0.2202","La Réunion","Dom____","0,1 - 0,25","4",574.53,0.00553623728586866
106,"P3Z","5.08","438.45","1.1592","Mayotte","Dom____","1,0 - 1,5","6",5.08,4.89514653929521e-05
11,"P3Z","39420.56","5730403.41","0.6879","Île-de-France","FRA.8_1","0,5 - 0,75","11",39420.56,0.379861058781652
24,"P3Z","2386.02","975024.95","0.2447","Centre-Val de Loire","FRA.4_1","0,1 - 0,25","24",2386.02,0.0229919636726165
27,"P3Z","2804.52","1070586.35","0.2620","Bourgogne-Franche-Comté","FRA.2_1","0,25 - 0,5","27",2804.52,0.0270246778983941
28,"P3Z","3257.68","1269386.93","0.2566","Normandie","FRA.9_1","0,25 - 0,5","28",3257.68,0.0313913798782111
32,"P3Z","5369.36","2109995.91","0.2545","Hauts-de-France","FRA.7_1","0,25 - 0,5","32",5369.36,0.0517397716973034
44,"P3Z","5981.02","2060125.53","0.2903","Grand Est","FRA.6_1","0,25 - 0,5","44",5981.02,0.0576337979418414
52,"P3Z","4086.92","1530280.18","0.2671","Pays de la Loire","FRA.12_1","0,25 - 0,5","52",4086.92,0.0393820320755441
