"Fap3","rep_sousempl","annee","effectif","pourcentage","part"
"B6Z",1,"2004-2006",3.81,0.0152962903484824,1.52962903484824
"B7Z",1,"2004-2006",1.26,0.0128322639780018,1.28322639780018
"C0Z",1,"2004-2006",0.91,0.0200396388460692,2.00396388460691
"C1Z",1,"2004-2006",0.44,0.00660165041260315,0.660165041260315
"C2Z",1,"2004-2006",0.35,0.00270709258256632,0.270709258256632
"D0Z",1,"2004-2006",0.44,0.00793507664562669,0.793507664562669
"D1Z",1,"2004-2006",0.55,0.00392100948171384,0.392100948171384
"D2Z",1,"2004-2006",0.88,0.00569763677565555,0.569763677565555
"D3Z",1,"2004-2006",5.18,0.0241886528134485,2.41886528134485
"D4Z",1,"2004-2006",1.34,0.00767117013968399,0.767117013968399
"D6Z",1,"2004-2006",1.87,0.00763483444249377,0.763483444249377
"E0Z",1,"2004-2006",5.82,0.0231927950904599,2.31927950904599
"E1Z",1,"2004-2006",4.13,0.0127108211252,1.27108211252
"E2Z",1,"2004-2006",0.66,0.00305980528511822,0.305980528511822
"ENS",1,"2004-2006",1310.7,0.0524664054087592,5.24664054087592
"F0Z",1,"2004-2006",1.07,0.027734577501296,2.7734577501296
"F1Z",1,"2004-2006",3.03,0.0337905654064905,3.37905654064905
"F2Z",1,"2004-2006",0.85,0.0230852797392721,2.30852797392721
"F3Z",1,"2004-2006",2.07,0.0262423935091278,2.62423935091278
"F4Z",1,"2004-2006",1.72,0.0191472781921407,1.91472781921407
"F5Z",1,"2004-2006",0.52,0.012770137524558,1.2770137524558
"G0A",1,"2004-2006",2.37,0.00921211178917091,0.921211178917091
"G0B",1,"2004-2006",0.93,0.00420738327904452,0.420738327904452
"G1Z",1,"2004-2006",1.1,0.00285654928845954,0.285654928845954
"H0Z",1,"2004-2006",1.96,0.00876369327073552,0.876369327073552
"J0Z",1,"2004-2006",20.95,0.0534057306005914,5.34057306005914
"J1Z",1,"2004-2006",6.02,0.0133221209170576,1.33221209170576
"J3Z",1,"2004-2006",31.43,0.0422315681980033,4.22315681980033
"J4Z",1,"2004-2006",0.5,0.00505919255286856,0.505919255286856
"J5Z",1,"2004-2006",4.76,0.0289168337282061,2.89168337282061
"J6Z",1,"2004-2006",0.18,0.00286396181384248,0.286396181384248
"K0Z",1,"2004-2006",5.39,0.0438675022381379,4.38675022381379
"L0Z",1,"2004-2006",32.18,0.0650298070122259,6.50298070122259
"L1Z",1,"2004-2006",19.98,0.0537645982455196,5.37645982455196
"L2Z",1,"2004-2006",24.39,0.0575588804455562,5.75588804455562
"L3Z",1,"2004-2006",4.24,0.0259295499021526,2.59295499021526
"L4Z",1,"2004-2006",8.62,0.0278459749321618,2.78459749321618
"L5Z",1,"2004-2006",6.87,0.0131242119741719,1.31242119741719
"L6Z",1,"2004-2006",0.85,0.00560796991489081,0.560796991489081
"M0Z",1,"2004-2006",1.13,0.0305901461829995,3.05901461829994
"M1Z",1,"2004-2006",1.25,0.00775145727396751,0.775145727396751
"M2Z",1,"2004-2006",0.96,0.00300572967218761,0.300572967218761
"N0Z",1,"2004-2006",2.39,0.0083283966965188,0.83283966965188
"P0Z",1,"2004-2006",49.36,0.054862732021785,5.4862732021785
"P1Z",1,"2004-2006",4.62,0.0114237673705554,1.14237673705554
"P2Z",1,"2004-2006",2.73,0.00691244239631336,0.691244239631336
"P3Z",1,"2004-2006",1.31,0.0205522434891748,2.05522434891748
"P4Z",1,"2004-2006",0.72,0.00169803311164568,0.169803311164568
"Q0Z",1,"2004-2006",4.27,0.0142723444080487,1.42723444080487
"Q1Z",1,"2004-2006",2.41,0.0129765237992677,1.29765237992677
"Q2Z",1,"2004-2006",0.29,0.0012731024188946,0.12731024188946
"R0Z",1,"2004-2006",66.42,0.204381808111268,20.4381808111268
"R1Z",1,"2004-2006",84.58,0.107223447681347,10.7223447681347
"R2Z",1,"2004-2006",14.59,0.0296937010277806,2.96937010277806
"R3Z",1,"2004-2006",12.04,0.0220339293230606,2.20339293230606
"R4Z",1,"2004-2006",3.62,0.007710987091552,0.7710987091552
"S0Z",1,"2004-2006",3.71,0.0146611341632089,1.46611341632089
"S1Z",1,"2004-2006",30.62,0.0964318332126098,9.64318332126098
"S2Z",1,"2004-2006",53.18,0.155093470209105,15.5093470209105
"S3Z",1,"2004-2006",1.82,0.00857479387514723,0.857479387514723
"T0Z",1,"2004-2006",12.12,0.0592607079992177,5.92607079992177
"T1Z",1,"2004-2006",65.72,0.258252121974222,25.8252121974222
"T2A",1,"2004-2006",123.8,0.294951516451052,29.4951516451052
"T2B",1,"2004-2006",47.57,0.113329362715902,11.3329362715902
"T2Z",1,"2004-2006",171.37,0.204138276075666,20.4138276075666
"T3Z",1,"2004-2006",9.44,0.0479212142748363,4.79212142748363
"T4Z",1,"2004-2006",191.13,0.155867985614444,15.5867985614444
"T6Z",1,"2004-2006",5.53,0.0536632702571567,5.36632702571567
"U0Z",1,"2004-2006",7.91,0.0506207602713426,5.06207602713426
"U1Z",1,"2004-2006",47.05,0.14644546812749,14.644546812749
"V0Z",1,"2004-2006",24.37,0.0509331828536794,5.09331828536794
"V1Z",1,"2004-2006",7.07,0.0152124798278644,1.52124798278644
"V2Z",1,"2004-2006",7.82,0.0245718774548311,2.45718774548311
"V3Z",1,"2004-2006",14.14,0.0420470427309762,4.20470427309762
"V4Z",1,"2004-2006",11.84,0.0411453989435641,4.11453989435641
"V5Z",1,"2004-2006",56.65,0.190228341168569,19.0228341168569
"W0Z",1,"2004-2006",25.19,0.0232854805461319,2.32854805461319
"W1Z",1,"2004-2006",17.55,0.149158592554819,14.9158592554819
"X0Z",1,"2004-2006",0.19,0.0104052573932092,1.04052573932092
"ZZZ",1,"2004-2006",0,0,0
"A0Z",1,"2005-2007",24.67,0.0396585538372504,3.96585538372504
"A1Z",1,"2005-2007",22.81,0.0725093775828088,7.25093775828088
"A2Z",1,"2005-2007",1.1,0.0192948605507806,1.92948605507806
"A3Z",1,"2005-2007",1.69,0.0623846437799926,6.23846437799926
"B0Z",1,"2005-2007",8.46,0.0400814895532288,4.00814895532288
"B1Z",1,"2005-2007",1.77,0.0168764302059497,1.68764302059497
"B2Z",1,"2005-2007",7.76,0.0211271440239586,2.11271440239586
"B3Z",1,"2005-2007",6.83,0.0423881338050022,4.23881338050022
"B4Z",1,"2005-2007",6.65,0.0118129818453121,1.18129818453121
"B5Z",1,"2005-2007",1.4,0.0193156732891832,1.93156732891832
"B6Z",1,"2005-2007",3.47,0.013878334599848,1.3878334599848
"B7Z",1,"2005-2007",0.67,0.0065359477124183,0.65359477124183
"C0Z",1,"2005-2007",1.32,0.0273688575575368,2.73688575575368
"C1Z",1,"2005-2007",0.4,0.00560302563384227,0.560302563384227
"C2Z",1,"2005-2007",0.26,0.00213254593175853,0.213254593175853
"D0Z",1,"2005-2007",0.5,0.00860585197934595,0.860585197934595
"D1Z",1,"2005-2007",0.41,0.00293066476054325,0.293066476054325
"D2Z",1,"2005-2007",0.99,0.00633397312859885,0.633397312859885
"D3Z",1,"2005-2007",5.51,0.0268243999805268,2.68243999805268
"D4Z",1,"2005-2007",1.73,0.0101039598177783,1.01039598177783
"D6Z",1,"2005-2007",1.93,0.00755381604696673,0.755381604696673
"E0Z",1,"2005-2007",5.47,0.0223886705959398,2.23886705959398
"E1Z",1,"2005-2007",3.69,0.0115391831884421,1.15391831884421
"E2Z",1,"2005-2007",0.86,0.00411916850273015,0.411916850273015
"ENS",1,"2005-2007",1350.6,0.0535069092292089,5.35069092292089
"F0Z",1,"2005-2007",0.74,0.0206935123042506,2.06935123042506
"F1Z",1,"2005-2007",3.33,0.0420507639853517,4.20507639853517
"F2Z",1,"2005-2007",0.36,0.010115200899129,1.0115200899129
"F3Z",1,"2005-2007",1.97,0.0269088922278377,2.69088922278377
"F4Z",1,"2005-2007",1.63,0.018778801843318,1.8778801843318
"F5Z",1,"2005-2007",0.6,0.0143061516452074,1.43061516452074
"G0A",1,"2005-2007",3.2,0.0123700181684642,1.23700181684642
"G0B",1,"2005-2007",0.88,0.00392034570321201,0.392034570321201
"G1Z",1,"2005-2007",2.03,0.00529210876195938,0.529210876195938
"H0Z",1,"2005-2007",1.57,0.00711792174819785,0.711792174819785
"J0Z",1,"2005-2007",20.93,0.0548020527859238,5.48020527859238
"J1Z",1,"2005-2007",6.75,0.0150716741838968,1.50716741838968
"J3Z",1,"2005-2007",30.42,0.0398966516715412,3.98966516715412
"J4Z",1,"2005-2007",0.42,0.00450498766491473,0.450498766491473
"J5Z",1,"2005-2007",6.07,0.0357479387514723,3.57479387514723
"J6Z",1,"2005-2007",0.17,0.00254262638348789,0.254262638348789
"K0Z",1,"2005-2007",5.24,0.0462244177840508,4.62244177840508
"L0Z",1,"2005-2007",35.06,0.0715130746950598,7.15130746950598
"L1Z",1,"2005-2007",18.52,0.0511955770559779,5.11955770559779
"L2Z",1,"2005-2007",26.35,0.0625,6.25
"L3Z",1,"2005-2007",4.5,0.0271657108361002,2.71657108361002
"L4Z",1,"2005-2007",8.42,0.0264123717807961,2.64123717807961
"L5Z",1,"2005-2007",6.81,0.012856091068698,1.2856091068698
"L6Z",1,"2005-2007",0.75,0.00483372003093581,0.483372003093581
"M0Z",1,"2005-2007",0.82,0.0245435498353786,2.45435498353786
"M1Z",1,"2005-2007",1.59,0.010709234188725,1.0709234188725
"M2Z",1,"2005-2007",1.16,0.00350368490999154,0.350368490999154
"N0Z",1,"2005-2007",1.31,0.00431332521155049,0.431332521155049
"P0Z",1,"2005-2007",47.66,0.0521586867305062,5.21586867305061
"P1Z",1,"2005-2007",5.34,0.012965885637975,1.2965885637975
"P2Z",1,"2005-2007",2.45,0.00595643294758339,0.595643294758339
"P3Z",1,"2005-2007",1.12,0.0170057698147586,1.70057698147586
"P4Z",1,"2005-2007",1.08,0.00247213129764003,0.247213129764003
"Q0Z",1,"2005-2007",3.09,0.0101361325241922,1.01361325241922
"Q1Z",1,"2005-2007",3.13,0.0164546314793397,1.64546314793397
"Q2Z",1,"2005-2007",0.9,0.00361184685769323,0.361184685769323
"R0Z",1,"2005-2007",69.67,0.212888834565789,21.2888834565789
"R1Z",1,"2005-2007",86.98,0.106406664790869,10.6406664790869
"R2Z",1,"2005-2007",14.1,0.0290320588053617,2.90320588053617
"R3Z",1,"2005-2007",11.87,0.0209850788487377,2.09850788487377
"R4Z",1,"2005-2007",3.47,0.00709785632466045,0.709785632466045
"S0Z",1,"2005-2007",4.35,0.0163300548089196,1.63300548089196
"S1Z",1,"2005-2007",33.88,0.103295832190006,10.3295832190006
"S2Z",1,"2005-2007",56.84,0.162753407398923,16.2753407398923
"S3Z",1,"2005-2007",1.69,0.00799507995079951,0.799507995079951
"T0Z",1,"2005-2007",15.19,0.072474831814495,7.2474831814495
"T1Z",1,"2005-2007",62.64,0.256921373200443,25.6921373200443
"T2A",1,"2005-2007",130.51,0.293544759334233,29.3544759334233
"T2B",1,"2005-2007",51.43,0.12407121489916,12.407121489916
"T2Z",1,"2005-2007",181.94,0.211774839370519,21.1774839370519
"T3Z",1,"2005-2007",9.89,0.049713481451694,4.9713481451694
"T4Z",1,"2005-2007",197.38,0.157365181618139,15.7365181618139
"T6Z",1,"2005-2007",6.52,0.0578424414478353,5.78424414478353
"U0Z",1,"2005-2007",7.08,0.0448101265822785,4.48101265822785
"U1Z",1,"2005-2007",44.25,0.133058696175126,13.3058696175126
"V0Z",1,"2005-2007",26.12,0.0543193445077569,5.43193445077569
"V1Z",1,"2005-2007",9.01,0.0190100430416069,1.90100430416069
"V2Z",1,"2005-2007",7.58,0.0231259724807029,2.31259724807029
"V3Z",1,"2005-2007",15.74,0.0447782424397599,4.47782424397599
"V4Z",1,"2005-2007",13.01,0.0438978304146843,4.38978304146843
"V5Z",1,"2005-2007",61.79,0.207453416149068,20.7453416149068
"W0Z",1,"2005-2007",24.74,0.0232139170904723,2.32139170904723
"W1Z",1,"2005-2007",18.11,0.147619823932181,14.7619823932181
"X0Z",1,"2005-2007",0.03,0.00130718954248366,0.130718954248366
"ZZZ",1,"2005-2007",0,0,0
"A0Z",1,"2006-2008",25.66,0.0445935143025964,4.45935143025964
"A1Z",1,"2006-2008",22.44,0.071835584864588,7.1835584864588
"A2Z",1,"2006-2008",1.27,0.0219078833879593,2.19078833879593
"A3Z",1,"2006-2008",2.2,0.0804387568555759,8.04387568555759
"B0Z",1,"2006-2008",6.56,0.0298249602182314,2.98249602182314
"B1Z",1,"2006-2008",1.22,0.0112994350282486,1.12994350282486
"B2Z",1,"2006-2008",6.85,0.0176774193548387,1.76774193548387
"B3Z",1,"2006-2008",6.1,0.0397912589693412,3.97912589693412
"B4Z",1,"2006-2008",6.13,0.0106603133749543,1.06603133749543
"B5Z",1,"2006-2008",1.28,0.0164799794000258,1.64799794000258
"B6Z",1,"2006-2008",3.95,0.0151404806623481,1.51404806623481
"B7Z",1,"2006-2008",0.33,0.00306292927417858,0.306292927417858
"C0Z",1,"2006-2008",0.91,0.0196927072062324,1.96927072062324
"C1Z",1,"2006-2008",0.53,0.00683782737711263,0.683782737711263
"C2Z",1,"2006-2008",0.33,0.00255932992089344,0.255932992089344
"D0Z",1,"2006-2008",0.54,0.00940602682459502,0.940602682459502
"D1Z",1,"2006-2008",0.84,0.00599614533514169,0.599614533514169
"D2Z",1,"2006-2008",1.29,0.0077120822622108,0.77120822622108
"D3Z",1,"2006-2008",4.73,0.0242925376200503,2.42925376200503
"D4Z",1,"2006-2008",2.4,0.0145498635950288,1.45498635950288
"D6Z",1,"2006-2008",1.21,0.00462396820544176,0.462396820544176
"E0Z",1,"2006-2008",5.7,0.0233539558323432,2.33539558323432
"E1Z",1,"2006-2008",3.09,0.00985205968626451,0.985205968626451
"E2Z",1,"2006-2008",1.08,0.00529256101146722,0.529256101146722
"ENS",1,"2006-2008",1403.2,0.054908590032557,5.4908590032557
"F0Z",1,"2006-2008",0.8,0.023788284269997,2.3788284269997
"F1Z",1,"2006-2008",2.7,0.0358565737051793,3.58565737051793
"F2Z",1,"2006-2008",0.22,0.00680061823802164,0.680061823802164
"F3Z",1,"2006-2008",1.26,0.0178091872791519,1.78091872791519
"F4Z",1,"2006-2008",1.59,0.0181486131720123,1.81486131720123
"F5Z",1,"2006-2008",0.56,0.0130994152046784,1.30994152046784
"G0A",1,"2006-2008",3.86,0.0149629801914951,1.49629801914951
"G0B",1,"2006-2008",1.28,0.00583515681983953,0.583515681983953
"G1Z",1,"2006-2008",2.67,0.00682899381042508,0.682899381042508
"H0Z",1,"2006-2008",1.16,0.00517325959951835,0.517325959951835
"J0Z",1,"2006-2008",19.77,0.0542937961716969,5.42937961716969
"J1Z",1,"2006-2008",8.29,0.0181989813839129,1.81989813839129
"J3Z",1,"2006-2008",30.35,0.0391007472300953,3.91007472300953
"J4Z",1,"2006-2008",0.53,0.00562393887945671,0.562393887945671
"J5Z",1,"2006-2008",5.44,0.0306185625035178,3.06185625035178
"J6Z",1,"2006-2008",0.14,0.00192228477275848,0.192228477275848
"K0Z",1,"2006-2008",5.13,0.0453901964254114,4.53901964254114
"L0Z",1,"2006-2008",37.38,0.0771103226338807,7.71103226338807
"L1Z",1,"2006-2008",15.83,0.0440627957468129,4.40627957468129
"L2Z",1,"2006-2008",27.95,0.0662071252605647,6.62071252605647
"L3Z",1,"2006-2008",5.55,0.0339055531797911,3.39055531797911
"L4Z",1,"2006-2008",10.48,0.0313032049941755,3.13032049941755
"L5Z",1,"2006-2008",6.48,0.0118613973751167,1.18613973751167
"L6Z",1,"2006-2008",0.88,0.00525467247865289,0.525467247865289
"M0Z",1,"2006-2008",0.84,0.0264234035860333,2.64234035860333
"M1Z",1,"2006-2008",1.71,0.0112315270935961,1.12315270935961
"M2Z",1,"2006-2008",1.13,0.0035165245534325,0.35165245534325
"N0Z",1,"2006-2008",1.4,0.0042074893310092,0.42074893310092
"P0Z",1,"2006-2008",50.13,0.0539664768384451,5.39664768384451
"P1Z",1,"2006-2008",5.97,0.0142983737695495,1.42983737695495
"P2Z",1,"2006-2008",2.23,0.00544845952747441,0.544845952747441
"P3Z",1,"2006-2008",0.91,0.0126143609647907,1.26143609647907
"P4Z",1,"2006-2008",1.19,0.00274307316398506,0.274307316398506
"Q0Z",1,"2006-2008",3.02,0.00990488684814693,0.990488684814693
"Q1Z",1,"2006-2008",2.7,0.0136157337367625,1.36157337367625
"Q2Z",1,"2006-2008",1.21,0.00471734892787524,0.471734892787524
"R0Z",1,"2006-2008",67.29,0.207154511590678,20.7154511590678
"R1Z",1,"2006-2008",91.14,0.109296301626133,10.9296301626133
"R2Z",1,"2006-2008",13.59,0.0267820191947658,2.67820191947658
"R3Z",1,"2006-2008",11.58,0.0206863288018721,2.06863288018721
"R4Z",1,"2006-2008",3.1,0.00604158952271443,0.604158952271443
"S0Z",1,"2006-2008",4.33,0.0166468032755373,1.66468032755373
"S1Z",1,"2006-2008",35.72,0.109268889568675,10.9268889568675
"S2Z",1,"2006-2008",63.54,0.179496595949038,17.9496595949038
"S3Z",1,"2006-2008",1.69,0.00807878005640805,0.807878005640805
"T0Z",1,"2006-2008",16.64,0.0793363211595308,7.93363211595308
"T1Z",1,"2006-2008",64.87,0.266658445348789,26.6658445348789
"T2A",1,"2006-2008",137.17,0.288226765564918,28.8226765564918
"T2B",1,"2006-2008",54.73,0.131904945531669,13.1904945531669
"T2Z",1,"2006-2008",191.89,0.21540827552143,21.540827552143
"T3Z",1,"2006-2008",12.06,0.0582074424441334,5.82074424441334
"T4Z",1,"2006-2008",214.11,0.168377096751362,16.8377096751362
"T6Z",1,"2006-2008",7.62,0.0604857913954596,6.04857913954596
"U0Z",1,"2006-2008",7.79,0.0495610128515078,4.95610128515078
"U1Z",1,"2006-2008",42.92,0.125574182977852,12.5574182977852
"V0Z",1,"2006-2008",24.13,0.0482522796352584,4.82522796352584
"V1Z",1,"2006-2008",9.32,0.0190858453473132,1.90858453473132
"V2Z",1,"2006-2008",8.61,0.0248155406963339,2.48155406963339
"V3Z",1,"2006-2008",17.74,0.050088940339385,5.0088940339385
"V4Z",1,"2006-2008",12.75,0.0429698031814505,4.29698031814505
"V5Z",1,"2006-2008",67.53,0.220232853928187,22.0232853928187
"W0Z",1,"2006-2008",25.45,0.0240605057905932,2.40605057905932
"W1Z",1,"2006-2008",18.35,0.136817775126752,13.6817775126752
"X0Z",1,"2006-2008",0.03,0.00118203309692671,0.118203309692671
"ZZZ",1,"2006-2008",0,0,0
"A0Z",1,"2007-2009",24.02,0.0446551403606618,4.46551403606618
"A1Z",1,"2007-2009",23.26,0.0730940858525548,7.30940858525549
"A2Z",1,"2007-2009",1.52,0.0257321821567632,2.57321821567632
"A3Z",1,"2007-2009",2.02,0.0710267229254571,7.10267229254571
"B0Z",1,"2007-2009",6.54,0.029812645302457,2.9812645302457
"B1Z",1,"2007-2009",1.95,0.017379679144385,1.7379679144385
"B2Z",1,"2007-2009",9.58,0.0243406677168555,2.43406677168555
"B3Z",1,"2007-2009",4.92,0.0351052443810203,3.51052443810203
"B4Z",1,"2007-2009",7.15,0.0128433115984983,1.28433115984983
"B5Z",1,"2007-2009",1.69,0.0205271468480505,2.05271468480505
"B6Z",1,"2007-2009",5,0.0184788232685343,1.84788232685343
"B7Z",1,"2007-2009",0.48,0.00390434358223524,0.390434358223524
"C0Z",1,"2007-2009",1.4,0.0325581395348837,3.25581395348837
"C1Z",1,"2007-2009",1.73,0.0230451578526708,2.30451578526708
"C2Z",1,"2007-2009",1.23,0.00894480401425351,0.894480401425351
"D0Z",1,"2007-2009",1.7,0.0325545767905017,3.25545767905017
"D1Z",1,"2007-2009",3.69,0.0278238576383653,2.78238576383653
"D2Z",1,"2007-2009",3.05,0.0178948603614175,1.78948603614175
"D3Z",1,"2007-2009",5.98,0.0328950987403048,3.28950987403048
"D4Z",1,"2007-2009",6.47,0.0403693766768578,4.03693766768578
"D6Z",1,"2007-2009",2.99,0.0118013893274392,1.18013893274392
"E0Z",1,"2007-2009",7.04,0.0293639207507821,2.93639207507821
"E1Z",1,"2007-2009",5.24,0.0167578112507595,1.67578112507595
"E2Z",1,"2007-2009",2.12,0.0101962293189688,1.01962293189688
"ENS",1,"2007-2009",1510.3,0.058697333493974,5.8697333493974
"F0Z",1,"2007-2009",1.8,0.0562675836198812,5.62675836198812
"F1Z",1,"2007-2009",3.57,0.047848813831926,4.7848813831926
"F2Z",1,"2007-2009",0.56,0.0175054704595186,1.75054704595186
"F3Z",1,"2007-2009",1.27,0.0154859163516644,1.54859163516644
"F4Z",1,"2007-2009",1.47,0.0178484701311316,1.78484701311316
