"Fap3","Annee","Salaire_median"
"W","2016-2018",2208
"X","2016-2018",1243
"Ensemble","2016-2018",1800
"Z","2016-2018",1740
"A0Z40","2003-2005",1012
"A0Z41","2003-2005",1092
"A0Z42","2003-2005",1241
"A0Z43","2003-2005",1173
"A1Z40","2003-2005",1000
"A1Z41","2003-2005",1152
"A1Z42","2003-2005",1067
"A2Z70","2003-2005",1500
"A2Z90","2003-2005",2083
"A3Z40","2003-2005",1335
"A3Z41","2003-2005",1555
"A3Z90","2003-2005",2407
"B0Z20","2003-2005",1200
"B0Z21","2003-2005",1129
"B1Z40","2003-2005",1408
"B2Z40","2003-2005",1270
"B2Z41","2003-2005",1372
"B2Z42","2003-2005",1356
"B2Z43","2003-2005",1250
"B2Z44","2003-2005",1220
"B3Z20","2003-2005",1136
"B4Z41","2003-2005",1344
"B4Z42","2003-2005",1300
"B4Z43","2003-2005",1335
"B4Z44","2003-2005",1250
"B5Z40","2003-2005",1372
"B6Z70","2003-2005",1500
"B6Z71","2003-2005",1625
"B6Z72","2003-2005",1536
"B6Z73","2003-2005",1802
"B7Z90","2003-2005",2259
"B7Z91","2003-2005",2572
"C0Z20","2003-2005",1156
"C1Z40","2003-2005",1280
"C2Z70","2003-2005",1533
"C2Z71","2003-2005",1701
"C2Z80","2003-2005",1788
"D0Z20","2003-2005",1200
"D1Z40","2003-2005",1408
"D1Z41","2003-2005",1417
"D2Z40","2003-2005",1344
"D2Z41","2003-2005",1330
"D2Z42","2003-2005",1313
"D3Z20","2003-2005",1192
"D4Z40","2003-2005",1400
"D4Z41","2003-2005",1300
"D6Z70","2003-2005",1750
"D6Z71","2003-2005",1608
"D6Z80","2003-2005",1778
"E0Z20","2003-2005",1197
"E0Z21","2003-2005",1100
"E0Z22","2003-2005",1200
"E0Z23","2003-2005",1267
"E0Z24","2003-2005",1095
"E1Z40","2003-2005",1333
"E1Z41","2003-2005",1391
"E1Z42","2003-2005",1310
"E1Z43","2003-2005",1399
"E1Z44","2003-2005",1667
"E1Z46","2003-2005",1372
"E1Z47","2003-2005",1267
"E2Z70","2003-2005",1712
"E2Z80","2003-2005",1864
"F0Z20","2003-2005",1020
"F1Z40","2003-2005",1083
"F1Z41","2003-2005",1093
"F2Z20","2003-2005",1067
"F3Z41","2003-2005",1241
"F4Z20","2003-2005",1192
"F4Z41","2003-2005",1370
"F5Z70","2003-2005",1625
"G0A40","2003-2005",1423
"G0A41","2003-2005",1500
"G0A42","2003-2005",1246
"G0A43","2003-2005",1265
"G0B40","2003-2005",1300
"G0B41","2003-2005",1220
"G1Z70","2003-2005",1702
"G1Z71","2003-2005",1609
"G1Z80","2003-2005",1698
"H0Z90","2003-2005",2973
"H0Z91","2003-2005",2604
"H0Z92","2003-2005",2348
"J0Z20","2003-2005",1083
"J1Z40","2003-2005",1235
"J1Z80","2003-2005",1540
"J3Z40","2003-2005",1220
"J3Z41","2003-2005",1401
"J3Z42","2003-2005",1250
"J3Z43","2003-2005",1459
"J3Z44","2003-2005",1651
"J4Z40","2003-2005",1500
"J4Z60","2003-2005",1709
"J4Z80","2003-2005",1773
"J5Z60","2003-2005",1975
"J5Z61","2003-2005",1418
"J5Z62","2003-2005",1476
"J5Z80","2003-2005",1608
"J6Z90","2003-2005",2414
"J6Z91","2003-2005",4596
"J6Z92","2003-2005",2550
"K0Z20","2003-2005",874
"K0Z40","2003-2005",1242
"L0Z60","2003-2005",1278
"L1Z60","2003-2005",1341
"L2Z60","2003-2005",1149
"L2Z61","2003-2005",1300
"L3Z80","2003-2005",1539
"L4Z80","2003-2005",1623
"L4Z81","2003-2005",1714
"L5Z90","2003-2005",2662
"L5Z91","2003-2005",2812
"L5Z92","2003-2005",2525
"L6Z90","2003-2005",5000
"M0Z60","2003-2005",1220
"M1Z80","2003-2005",1728
"M1Z81","2003-2005",1683
"M2Z90","2003-2005",2590
"M2Z91","2003-2005",2683
"M2Z92","2003-2005",3133
"N0Z90","2003-2005",2804
"N0Z91","2003-2005",2538
"P0Z60","2003-2005",1551
"P0Z61","2003-2005",1318
"P0Z62","2003-2005",1302
"P1Z80","2003-2005",2000
"P1Z81","2003-2005",1690
"P1Z82","2003-2005",1686
"P2Z90","2003-2005",2595
"P2Z91","2003-2005",2397
"P2Z92","2003-2005",2961
"P3Z90","2003-2005",3200
"P3Z91","2003-2005",3850
"P4Z60","2003-2005",1700
"P4Z61","2003-2005",1517
"P4Z80","2003-2005",2287
"Q0Z60","2003-2005",1533
"Q1Z80","2003-2005",1773
"Q1Z81","2003-2005",1667
"Q2Z90","2003-2005",2845
"Q2Z91","2003-2005",2478
"R0Z60","2003-2005",1074
"R0Z61","2003-2005",1036
"R1Z60","2003-2005",1069
"R1Z61","2003-2005",1182
"R1Z62","2003-2005",1100
"R1Z63","2003-2005",1349
"R1Z66","2003-2005",1100
"R1Z67","2003-2005",1100
"R2Z80","2003-2005",1668
"R2Z83","2003-2005",1600
"R3Z80","2003-2005",1423
"R3Z82","2003-2005",1547
"R4Z90","2003-2005",2900
"R4Z91","2003-2005",2808
"R4Z92","2003-2005",2250
"R4Z93","2003-2005",2084
"S0Z20","2003-2005",1000
"S0Z40","2003-2005",1238
"S0Z41","2003-2005",1200
"S0Z42","2003-2005",1300
"S1Z20","2003-2005",1000
"S1Z40","2003-2005",1220
"S1Z80","2003-2005",1517
"S2Z60","2003-2005",1087
"S2Z61","2003-2005",1088
"S2Z80","2003-2005",1406
"S2Z81","2003-2005",1521
"S3Z90","2003-2005",2157
"T0Z60","2003-2005",1050
"T1Z60","2003-2005",991
"T2A60","2003-2005",1000
"T2B60","2003-2005",844
"T3Z60","2003-2005",1017
"T3Z61","2003-2005",1188
"T4Z60","2003-2005",1128
"T4Z61","2003-2005",1200
"T4Z62","2003-2005",1242
"T6Z61","2003-2005",1215
"U0Z80","2003-2005",1441
"U0Z81","2003-2005",1587
"U0Z90","2003-2005",2683
"U0Z91","2003-2005",1850
"U0Z92","2003-2005",2383
"U1Z80","2003-2005",1817
"U1Z81","2003-2005",1383
"U1Z82","2003-2005",1586
"U1Z91","2003-2005",1527
"U1Z92","2003-2005",1400
"U1Z93","2003-2005",2210
"V0Z60","2003-2005",1362
"V1Z80","2003-2005",1829
"V1Z81","2003-2005",2137
"V2Z90","2003-2005",3500
"V2Z91","2003-2005",3697
"V2Z92","2003-2005",2326
"V2Z93","2003-2005",2322
"V3Z70","2003-2005",1486
"V3Z71","2003-2005",1511
"V3Z80","2003-2005",1732
"V3Z90","2003-2005",2252
"V4Z80","2003-2005",1980
"V4Z83","2003-2005",1543
"V4Z85","2003-2005",1703
"V5Z81","2003-2005",1193
"V5Z82","2003-2005",1292
"V5Z84","2003-2005",1000
"W0Z80","2003-2005",1752
"W0Z90","2003-2005",2000
"W0Z91","2003-2005",2953
"W0Z92","2003-2005",2500
"W1Z80","2003-2005",1547
"X0Z00","2003-2005",1767
"X0Z01","2003-2005",1100
"ZZZZZ","2003-2005",NA
"A0Z40","2017-2019",1400
"A0Z41","2017-2019",1394
"A0Z42","2017-2019",1638
"A0Z43","2017-2019",1625
"A1Z40","2017-2019",1295
"A1Z41","2017-2019",1452
"A1Z42","2017-2019",1300
"A2Z70","2017-2019",1958
"A2Z90","2017-2019",2500
"A3Z40","2017-2019",1500
"A3Z41","2017-2019",2166
"A3Z90","2017-2019",4400
"B0Z20","2017-2019",1600
"B0Z21","2017-2019",1500
"B1Z40","2017-2019",1841
"B2Z40","2017-2019",1675
"B2Z41","2017-2019",1750
"B2Z42","2017-2019",1850
"B2Z43","2017-2019",1740
"B2Z44","2017-2019",1700
"B3Z20","2017-2019",1500
"B4Z41","2017-2019",1800
"B4Z42","2017-2019",1700
"B4Z43","2017-2019",1716
"B4Z44","2017-2019",1617
"B5Z40","2017-2019",1800
"B6Z70","2017-2019",1891
"B6Z71","2017-2019",1980
"B6Z72","2017-2019",1861
"B6Z73","2017-2019",2250
"B7Z90","2017-2019",2640
"B7Z91","2017-2019",2866
"C0Z20","2017-2019",1500
"C1Z40","2017-2019",1683
"C2Z70","2017-2019",1968
"C2Z71","2017-2019",2000
"C2Z80","2017-2019",2580
"D0Z20","2017-2019",1538
"D1Z40","2017-2019",1904
"D1Z41","2017-2019",1837
"D2Z40","2017-2019",1778
"D2Z41","2017-2019",1802
"D2Z42","2017-2019",1746
"D3Z20","2017-2019",1520
"D4Z40","2017-2019",1800
"D4Z41","2017-2019",1648
"D6Z70","2017-2019",2173
"D6Z71","2017-2019",2056
"D6Z80","2017-2019",2266
"E0Z20","2017-2019",1500
"E0Z21","2017-2019",1477
"E0Z22","2017-2019",1619
"E0Z23","2017-2019",1691
"E0Z24","2017-2019",1400
"E1Z40","2017-2019",1800
"E1Z41","2017-2019",1800
"E1Z42","2017-2019",1600
"E1Z43","2017-2019",1778
"E1Z44","2017-2019",1893
"E1Z46","2017-2019",1874
"E1Z47","2017-2019",1643
"E2Z70","2017-2019",2166
"E2Z80","2017-2019",2213
"F0Z20","2017-2019",1300
"F1Z40","2017-2019",1495
"F1Z41","2017-2019",1408
"F2Z20","2017-2019",1450
"F3Z41","2017-2019",1647
"F4Z20","2017-2019",1500
"F4Z41","2017-2019",1750
"F5Z70","2017-2019",2000
"G0A40","2017-2019",1888
"G0A41","2017-2019",2000
"G0A42","2017-2019",1600
"G0A43","2017-2019",1540
"G0B40","2017-2019",1700
"G0B41","2017-2019",1600
"G1Z70","2017-2019",2100
"G1Z71","2017-2019",1994
"G1Z80","2017-2019",2000
"H0Z90","2017-2019",3431
"H0Z91","2017-2019",3100
"H0Z92","2017-2019",2800
"J0Z20","2017-2019",1380
"J1Z40","2017-2019",1550
"J1Z80","2017-2019",2006
"J3Z40","2017-2019",1600
"J3Z41","2017-2019",1833
"J3Z42","2017-2019",1594
"J3Z43","2017-2019",1903
"J3Z44","2017-2019",2500
"J4Z40","2017-2019",1850
"J4Z60","2017-2019",2000
"J4Z80","2017-2019",2208
"J5Z60","2017-2019",2000
"J5Z61","2017-2019",1666
"J5Z62","2017-2019",1655
"J5Z80","2017-2019",1950
"J6Z90","2017-2019",3033
"J6Z91","2017-2019",4500
"J6Z92","2017-2019",2960
"K0Z20","2017-2019",1200
"K0Z40","2017-2019",1527
"L0Z60","2017-2019",1551
"L1Z60","2017-2019",1733
"L2Z60","2017-2019",1375
"L2Z61","2017-2019",1600
"L3Z80","2017-2019",1920
"L4Z80","2017-2019",1850
"L4Z81","2017-2019",2050
"L5Z90","2017-2019",3218
"L5Z91","2017-2019",3531
"L5Z92","2017-2019",3000
"L6Z90","2017-2019",3952
"M0Z60","2017-2019",1594
"M1Z80","2017-2019",1950
"M1Z81","2017-2019",1891
"M2Z90","2017-2019",3100
"M2Z91","2017-2019",2825
"M2Z92","2017-2019",3492
"N0Z90","2017-2019",3250
"N0Z91","2017-2019",2600
"P0Z60","2017-2019",1800
"P0Z61","2017-2019",1600
"P0Z62","2017-2019",1554
"P1Z80","2017-2019",2281
"P1Z81","2017-2019",1999
"P1Z82","2017-2019",1983
"P2Z90","2017-2019",3000
"P2Z91","2017-2019",3000
"P2Z92","2017-2019",3692
"P3Z90","2017-2019",3718
"P3Z91","2017-2019",5200
"P4Z60","2017-2019",2100
"P4Z61","2017-2019",2000
"P4Z80","2017-2019",2542
"Q0Z60","2017-2019",1850
"Q1Z80","2017-2019",2127
"Q1Z81","2017-2019",2000
"Q2Z90","2017-2019",3466
"Q2Z91","2017-2019",3050
"R0Z60","2017-2019",1359
"R0Z61","2017-2019",1300
"R1Z60","2017-2019",1334
"R1Z61","2017-2019",1488
"R1Z62","2017-2019",1311
"R1Z63","2017-2019",1672
"R1Z66","2017-2019",1325
"R1Z67","2017-2019",1300
"R2Z80","2017-2019",2045
"R2Z83","2017-2019",1852
"R3Z80","2017-2019",1811
"R3Z82","2017-2019",2004
"R4Z90","2017-2019",3450
"R4Z91","2017-2019",3408
"R4Z92","2017-2019",2751
"R4Z93","2017-2019",3033
"S0Z20","2017-2019",1333
"S0Z40","2017-2019",1590
"S0Z41","2017-2019",1441
"S0Z42","2017-2019",1558
"S1Z20","2017-2019",1270
"S1Z40","2017-2019",1500
"S1Z80","2017-2019",1803
"S2Z60","2017-2019",1380
"S2Z61","2017-2019",1350
"S2Z80","2017-2019",1700
"S2Z81","2017-2019",1766
"S3Z90","2017-2019",2500
"T0Z60","2017-2019",1298
"T1Z60","2017-2019",1400
"T2A60","2017-2019",1290
"T2B60","2017-2019",1324
"T3Z60","2017-2019",1408
"T3Z61","2017-2019",1490
"T4Z60","2017-2019",1441
"T4Z61","2017-2019",1400
"T4Z62","2017-2019",1600
"T6Z61","2017-2019",1600
"U0Z80","2017-2019",1800
"U0Z81","2017-2019",2000
"U0Z90","2017-2019",3099
"U0Z91","2017-2019",2400
"U0Z92","2017-2019",3007
"U1Z80","2017-2019",2200
"U1Z81","2017-2019",2400
"U1Z82","2017-2019",1937
"U1Z91","2017-2019",1841
"U1Z92","2017-2019",1760
"U1Z93","2017-2019",2412
"V0Z60","2017-2019",1549
"V1Z80","2017-2019",2025
"V1Z81","2017-2019",2309
"V2Z90","2017-2019",3800
"V2Z91","2017-2019",4000
"V2Z92","2017-2019",2890
"V2Z93","2017-2019",2841
"V3Z70","2017-2019",1808
"V3Z71","2017-2019",1824
"V3Z80","2017-2019",1854
"V3Z90","2017-2019",2280
"V4Z80","2017-2019",2398
"V4Z83","2017-2019",1770
"V4Z85","2017-2019",1840
"V5Z81","2017-2019",1450
"V5Z82","2017-2019",1603
"V5Z84","2017-2019",1320
"W0Z80","2017-2019",2148
"W0Z90","2017-2019",2320
"W0Z91","2017-2019",3533
"W0Z92","2017-2019",3000
"W1Z80","2017-2019",1780
"X0Z00","2017-2019",1480
"X0Z01","2017-2019",1152
"ZZZZZ","2017-2019",1879
