"Fap3","Annee","Part"
"P0Z","1983-1985",75.8569820942351
"P1Z","1983-1985",62.4380043819241
"P2Z","1983-1985",23.0516774845361
"P3Z","1983-1985",23.2662569922003
"P4Z","1983-1985",2.9753212965601
"Q0Z","1983-1985",69.0405906495152
"Q1Z","1983-1985",40.0286769952531
"Q2Z","1983-1985",18.188310465214
"R0Z","1983-1985",81.3352942738315
"R1Z","1983-1985",82.0808080254423
"R2Z","1983-1985",22.2227842252043
"R3Z","1983-1985",49.354523031374
"R4Z","1983-1985",10.4367052461698
"S0Z","1983-1985",9.26784245015644
"S1Z","1983-1985",27.6351678751671
"S2Z","1983-1985",47.2658609272008
"S3Z","1983-1985",57.6108193706729
"T0Z","1983-1985",78.2503384349969
"T1Z","1983-1985",97.0960284261975
"T2A","1983-1985",NA
"T2B","1983-1985",NA
"T3Z","1983-1985",32.1253502375028
"T4Z","1983-1985",74.3570321418484
"T6Z","1983-1985",37.1898277924944
"U0Z","1983-1985",42.6818642122833
"U1Z","1983-1985",32.5746132555316
"V0Z","1983-1985",92.65859205495
"V1Z","1983-1985",87.4776732908884
"V2Z","1983-1985",31.8820987389917
"V3Z","1983-1985",60.6843869646607
"V4Z","1983-1985",69.9386457756793
"V5Z","1983-1985",50.6630436068754
"W0Z","1983-1985",61.3001603377249
"W1Z","1983-1985",32.3636548955992
"X0Z","1983-1985",7.86230413806282
"ZZZ","1983-1985",54.5361857521234
"A0Z","1984-1986",37.0250092905975
"A1Z","1984-1986",27.6487923794731
"A2Z","1984-1986",7.48694513329861
"A3Z","1984-1986",11.2132014729161
"B0Z","1984-1986",0.367061584591705
"B1Z","1984-1986",0.104310343676839
"B2Z","1984-1986",0.768069360674806
"B3Z","1984-1986",1.83110117768168
"B4Z","1984-1986",0.963555567823811
"B5Z","1984-1986",0.454609313579445
"B6Z","1984-1986",4.35007922549403
"B7Z","1984-1986",3.41370247923705
"C0Z","1984-1986",56.0496671266689
"C1Z","1984-1986",32.6572328495129
"C2Z","1984-1986",6.70307866936131
"D0Z","1984-1986",21.634386779679
"D1Z","1984-1986",1.64612304189728
"D2Z","1984-1986",1.86278978445685
"D3Z","1984-1986",18.5040831353114
"D4Z","1984-1986",7.76936311643348
"D6Z","1984-1986",3.24943832421166
"E0Z","1984-1986",36.0939699521225
"E1Z","1984-1986",18.7599697782146
"E2Z","1984-1986",14.3520114173973
"F0Z","1984-1986",77.77429385516
"F1Z","1984-1986",65.337958417369
"F2Z","1984-1986",19.7768234054281
"F3Z","1984-1986",4.16504682335461
"F4Z","1984-1986",27.8192909452972
"F5Z","1984-1986",14.7374381816776
"G0A","1984-1986",1.8155843540767
"G0B","1984-1986",1.4784099357223
"G1Z","1984-1986",2.92971276175935
"H0Z","1984-1986",4.03786767720901
"J0Z","1984-1986",32.3619903927306
"J1Z","1984-1986",7.0539419208943
"J3Z","1984-1986",4.52538709944392
"J4Z","1984-1986",9.44016404343235
"J5Z","1984-1986",46.917998265578
"J6Z","1984-1986",6.31971667440048
"K0Z","1984-1986",43.6486820375282
"L0Z","1984-1986",97.113368279899
"L1Z","1984-1986",85.4879814017656
"L2Z","1984-1986",79.5072977034486
"L3Z","1984-1986",96.8368056050678
"L4Z","1984-1986",48.0553428232861
"L5Z","1984-1986",24.1923134611887
"L6Z","1984-1986",22.4953847712916
"M0Z","1984-1986",84.3022567019094
"M1Z","1984-1986",20.1990143629482
"M2Z","1984-1986",12.0760886162442
"N0Z","1984-1986",10.2435087580124
"P0Z","1984-1986",76.9381427911169
"P1Z","1984-1986",62.4097670711732
"P2Z","1984-1986",23.8439507809495
"P3Z","1984-1986",25.5157360832709
"P4Z","1984-1986",3.09606558617548
"Q0Z","1984-1986",70.4151874873774
"Q1Z","1984-1986",42.4712185258303
"Q2Z","1984-1986",18.6906171583652
"R0Z","1984-1986",82.4997403310521
"R1Z","1984-1986",82.2748499918937
"R2Z","1984-1986",21.9760566638349
"R3Z","1984-1986",49.3599709499087
"R4Z","1984-1986",11.0415829369006
"S0Z","1984-1986",8.76663927542999
"S1Z","1984-1986",26.6888352352929
"S2Z","1984-1986",49.2277520176676
"S3Z","1984-1986",56.4482481004871
"T0Z","1984-1986",80.6848294794608
"T1Z","1984-1986",97.2915374094752
"T2A","1984-1986",NA
"T2B","1984-1986",NA
"T3Z","1984-1986",29.1224458089261
"T4Z","1984-1986",74.601303158995
"T6Z","1984-1986",34.1256607501676
"U0Z","1984-1986",44.8422897289913
"U1Z","1984-1986",31.6472185953402
"V0Z","1984-1986",93.4136210872165
"V1Z","1984-1986",87.5503275134164
"V2Z","1984-1986",33.3027243913292
"V3Z","1984-1986",61.071542589666
"V4Z","1984-1986",67.8127738212628
"V5Z","1984-1986",50.1408306015556
"W0Z","1984-1986",60.4530920473717
"W1Z","1984-1986",36.7847007441526
"X0Z","1984-1986",7.0739179482431
"ZZZ","1984-1986",57.7416306782709
"A0Z","1985-1987",36.3721867574104
"A1Z","1985-1987",29.3347486300764
"A2Z","1985-1987",9.24541020501564
"A3Z","1985-1987",10.2155855671749
"B0Z","1985-1987",0.594853284163802
"B1Z","1985-1987",0.208375753264864
"B2Z","1985-1987",0.963620431296517
"B3Z","1985-1987",2.26161085683555
"B4Z","1985-1987",1.10412252098632
"B5Z","1985-1987",0.572394327310812
"B6Z","1985-1987",4.592672196189
"B7Z","1985-1987",4.5482751629512
"C0Z","1985-1987",53.9088132211999
"C1Z","1985-1987",35.6009754713872
"C2Z","1985-1987",7.3943033302543
"D0Z","1985-1987",20.9667749917883
"D1Z","1985-1987",1.65289696586756
"D2Z","1985-1987",2.09230734834469
"D3Z","1985-1987",17.7480253784952
"D4Z","1985-1987",7.88048650694844
"D6Z","1985-1987",3.02030816171479
"E0Z","1985-1987",36.94189159042
"E1Z","1985-1987",18.7809041408512
"E2Z","1985-1987",14.2816683616498
"F0Z","1985-1987",77.914460551892
"F1Z","1985-1987",62.952181787682
"F2Z","1985-1987",18.7158864779159
"F3Z","1985-1987",3.69929337782461
"F4Z","1985-1987",27.2913294915417
"F5Z","1985-1987",16.6345298175501
"G0A","1985-1987",1.75140173680741
"G0B","1985-1987",1.97582211177098
"G1Z","1985-1987",3.35385204760434
"H0Z","1985-1987",5.00891186783907
"J0Z","1985-1987",33.0505132954827
"J1Z","1985-1987",6.9565615622554
"J3Z","1985-1987",4.95011111288661
"J4Z","1985-1987",9.28011433297726
"J5Z","1985-1987",46.3778338540692
"J6Z","1985-1987",7.51237937930054
"K0Z","1985-1987",43.2041210468277
"L0Z","1985-1987",97.1158310679892
"L1Z","1985-1987",86.0168129280803
"L2Z","1985-1987",79.7398424694496
"L3Z","1985-1987",96.864449133565
"L4Z","1985-1987",49.9196995514136
"L5Z","1985-1987",25.2939852176943
"L6Z","1985-1987",21.2687973057626
"M0Z","1985-1987",84.4132085380015
"M1Z","1985-1987",21.3611588863839
"M2Z","1985-1987",12.8721239542716
"N0Z","1985-1987",11.6114960423072
"P0Z","1985-1987",77.5989688524969
"P1Z","1985-1987",63.1396600151274
"P2Z","1985-1987",24.1276978008758
"P3Z","1985-1987",26.2374317349544
"P4Z","1985-1987",3.27177709827675
"Q0Z","1985-1987",71.3390579343589
"Q1Z","1985-1987",44.0244154992101
"Q2Z","1985-1987",19.9073904516427
"R0Z","1985-1987",82.4373868783596
"R1Z","1985-1987",81.5433456783326
"R2Z","1985-1987",21.1799637125345
"R3Z","1985-1987",49.2225283756185
"R4Z","1985-1987",11.6200058626244
"S0Z","1985-1987",8.58765136502475
"S1Z","1985-1987",24.9591936252281
"S2Z","1985-1987",51.6944928930631
"S3Z","1985-1987",54.3439584323392
"T0Z","1985-1987",82.6008918828429
"T1Z","1985-1987",97.4880597475749
"T2A","1985-1987",NA
"T2B","1985-1987",NA
"T3Z","1985-1987",28.3154238664522
"T4Z","1985-1987",74.6019306557408
"T6Z","1985-1987",37.6677982354852
"U0Z","1985-1987",46.2419752349824
"U1Z","1985-1987",33.3400635945349
"V0Z","1985-1987",93.7492878530458
"V1Z","1985-1987",87.8922088121825
"V2Z","1985-1987",33.7896546271427
"V3Z","1985-1987",62.5928956856295
"V4Z","1985-1987",65.1919789276016
"V5Z","1985-1987",50.6885693217755
"W0Z","1985-1987",59.7800214830081
"W1Z","1985-1987",37.5275822591668
"X0Z","1985-1987",8.52849981816205
"ZZZ","1985-1987",59.3559932779015
"A0Z","1986-1988",35.4543271725717
"A1Z","1986-1988",30.7538139903671
"A2Z","1986-1988",8.63645719517698
"A3Z","1986-1988",9.05115903148909
"B0Z","1986-1988",0.901548162406969
"B1Z","1986-1988",0.457282782092648
"B2Z","1986-1988",1.17870727959501
"B3Z","1986-1988",2.6038373887157
"B4Z","1986-1988",1.16436640138283
"B5Z","1986-1988",0.565957403179355
"B6Z","1986-1988",5.3260980304079
"B7Z","1986-1988",5.45750061366199
"C0Z","1986-1988",51.2486122349622
"C1Z","1986-1988",34.7503791291272
"C2Z","1986-1988",7.47511466761885
"D0Z","1986-1988",20.4391322765995
"D1Z","1986-1988",2.2593328875508
"D2Z","1986-1988",2.25329645950503
"D3Z","1986-1988",17.144133824265
"D4Z","1986-1988",7.89714323565412
"D6Z","1986-1988",3.17311924049117
"E0Z","1986-1988",36.4551324832785
"E1Z","1986-1988",19.49000392563
"E2Z","1986-1988",14.4424814900007
"F0Z","1986-1988",78.672728413053
"F1Z","1986-1988",60.4661231113003
