"Fap","sumeffsal","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"E1Z47",11.47184,"Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42",81.53589,"Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41",63.71453,"Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43",55.48492,"Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"V3Z80",45.14022,"Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"Q",670.32941,"Banque et assurances","Q","Banque et assurances",NA,NA
"S0Z40",80.79791,"Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z",152.44175,"Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z42",62.56539,"Boulangers, pâtissiers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B",1346.38796,"Bâtiment, travaux publics","B","Bâtiment, travaux publics",NA,NA
"A0Z02",0,"Bûcherons, sylviculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z42",14.63162,"Bûcherons, sylviculteurs salariés et agents forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"P2Z90",415.89682,"Cadres A de la fonction publique (hors spécialités juridiques) et assimilés","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"L5Z90",472.25574,"Cadres administratifs, comptables et financiers (hors juristes)","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"R4Z",576.63154,"Cadres commerciaux et technico-commerciaux","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z90",293.37222,"Cadres commerciaux, acheteurs et cadres de la mercatique","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"P2Z92",0,"Cadres de l'armée et de la gendarmerie","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"S3Z90",53.37932,"Cadres de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"P2Z91",0,"Cadres de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"Q2Z90",184.9027,"Cadres de la banque","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z",267.94338,"Cadres de la banque et des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"U0Z90",64.75184,"Cadres de la communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"P2Z",464.26708,"Cadres de la fonction publique (catégorie A et assimilés)","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"Q2Z91",83.04069,"Cadres des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"R4Z92",67.96708,"Cadres des magasins","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"L5Z92",106.38066,"Cadres des ressources humaines et du recrutement","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z",615.29281,"Cadres des services administratifs, comptables et financiers","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"J6Z90",29.09954,"Cadres des transports","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z",96.14444,"Cadres des transports, de la logistique et navigants de l'aviation","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"L6Z90",0,"Cadres dirigeants des grandes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"B7Z",152.65563,"Cadres du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"A3Z90",0,"Cadres et maîtres d'équipage de la marine","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"U0Z91",7.72492,"Cadres et techniciens de la documentation","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"P4Z80",53.74042,"Cadres intermédiaires de la police et de l'armée","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"H0Z91",68.38554,"Cadres techniques de la maintenance et de l'environnement","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"R0Z61",193.72657,"Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z",302.83824,"Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"G0B40",32.74021,"Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"S0Z41",8.22688,"Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B2Z43",25.15605,"Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42",12.12186,"Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"D2Z40",70.77106,"Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"S1Z80",34.84777,"Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"B6Z73",92.17531,"Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"N0Z91",91.10644,"Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"X0Z01",0,"Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"T0Z",96.61502,"Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z60",96.61502,"Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"R",2477.63497,"Commerce","R","Commerce",NA,NA
"U",442.89205,"Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"T3Z60",47.23176,"Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"A0Z43",12.24556,"Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"B5Z",72.53266,"Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40",72.53266,"Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"J3Z41",123.35492,"Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z",751.74657,"Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40",86.10941,"Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42",205.46385,"Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43",307.95598,"Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44",28.86239,"Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"P1Z80",0,"Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"J4Z60",5.8876,"Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"B2Z44",28.43687,"Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"S1Z",356.53534,"Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40",215.75546,"Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"V2Z91",0,"Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"B6Z72",19.31155,"Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"D6Z71",34.3416,"Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"C2Z71",8.64323,"Dessinateurs en électricité et en électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"W0Z91",0,"Directeurs d'établissement scolaire et inspecteurs","W","Enseignement, formation","W0Z","Enseignants"
"L6Z",0,"Dirigeants d'entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z00",0,"Dirigeants de petites et moyennes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"V4Z83",254.11459,"Educateurs spécialisés","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"L2Z",337.63245,"Employés administratifs d'entreprise","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"P0Z",651.51929,"Employés administratifs de la fonction publique (catégorie C et assimilés)","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"S2Z60",91.22202,"Employés de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"P0Z62",130.82039,"Employés de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"Q0Z",226.79276,"Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z60",226.79276,"Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"L1Z",276.85668,"Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z60",276.85668,"Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"R0Z60",109.11169,"Employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"T1Z",166.90666,"Employés de maison","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z60",166.90666,"Employés de maison et personnels de ménage","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"P0Z61",496.89758,"Employés des services au public","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"T6Z",33.15953,"Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z61",33.15953,"Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"J5Z62",28.05105,"Employés des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"S2Z",405.06859,"Employés et agents de maîtrise de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"M0Z",36.73674,"Employés et opérateurs de l'informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z60",36.73674,"Employés et opérateurs en informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"W0Z",1049.24175,"Enseignants","W","Enseignement, formation","W0Z","Enseignants"
"W",1165.78215,"Enseignement, formation","W","Enseignement, formation",NA,NA
"V5Z00",0,"Exploitants d'équipements sportifs et culturels","V","Santé, action sociale, culturelle et sportive","V5Z","Professionnels de l'action culturelle, sportive et surveillants"
"W1Z",116.5404,"Formateurs","W","Enseignement, formation","W1Z","Formateurs"
"W1Z80",116.5404,"Formateurs","W","Enseignement, formation","W1Z","Formateurs"
"L",2191.65002,"Gestion, administration des entreprises","L","Gestion, administration des entreprises",NA,NA
"U1Z82",60.48729,"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"B6Z70",13.97546,"Géomètres","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"S",967.42499,"Hôtellerie, restauration, alimentation","S","Hôtellerie, restauration, alimentation",NA,NA
"E",707.75984,"Industries de process","E","Industries de process",NA,NA
"V1Z80",516.38315,"Infirmiers","V","Santé, action sociale, culturelle et sportive","V1Z","Infirmiers, sages-femmes"
"V1Z",535.43579,"Infirmiers, sages-femmes","V","Santé, action sociale, culturelle et sportive","V1Z","Infirmiers, sages-femmes"
"M",637.896,"Informatique et télécommunications","M","Informatique et télécommunications",NA,NA
"M2Z",433.09454,"Ingénieurs de l'informatique","M","Informatique et télécommunications","M2Z","Ingénieurs de l'informatique"
"H0Z92",108.26158,"Ingénieurs des méthodes de production, du contrôle qualité","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
