"Fap","annee","effectif","age","pourcentage"
"A1Z40","2003-2005",7.43072,"15-24 ans",0.202704907165783
"A1Z40","2003-2005",4.6018,"25-29 ans",0.125533924275912
"A1Z40","2003-2005",4.91948,"30-34 ans",0.134200015167296
"A1Z40","2003-2005",4.49588,"35-39 ans",0.122644499863876
"A1Z40","2003-2005",6.0093,"40-44 ans",0.163929551730026
"A1Z40","2003-2005",4.02961,"45-49 ans",0.109924976444317
"A1Z40","2003-2005",3.5406,"50-54 ans",0.0965851215375055
"A1Z40","2003-2005",1.63043,"55-59 ans",0.0444770038152842
"A1Z40","2003-2005",0,"60 ans ou plus",0
"A1Z41","2003-2005",20.4688,"15-24 ans",0.19155902343156
"A1Z41","2003-2005",11.18347,"25-29 ans",0.104661464852661
"A1Z41","2003-2005",20.30512,"30-34 ans",0.190027210088556
"A1Z41","2003-2005",15.86933,"35-39 ans",0.148514488260824
"A1Z41","2003-2005",12.20975,"40-44 ans",0.114265994408245
"A1Z41","2003-2005",12.58566,"45-49 ans",0.117783980440555
"A1Z41","2003-2005",9.75514,"50-54 ans",0.0912943158288783
"A1Z41","2003-2005",3.8691,"55-59 ans",0.0362093047740486
"A1Z41","2003-2005",0.60738,"60 ans ou plus",0.00568421791467309
"A1Z42","2003-2005",10.95998,"15-24 ans",0.163723179450194
"A1Z42","2003-2005",6.74407,"25-29 ans",0.100744762566599
"A1Z42","2003-2005",8.08893,"30-34 ans",0.120834649146263
"A1Z42","2003-2005",7.7753,"35-39 ans",0.116149558409695
"A1Z42","2003-2005",9.99685,"40-44 ans",0.149335680036521
"A1Z42","2003-2005",9.58102,"45-49 ans",0.14312389774214
"A1Z42","2003-2005",5.83055,"50-54 ans",0.0870983509042286
"A1Z42","2003-2005",5.98846,"55-59 ans",0.0894572536820604
"A1Z42","2003-2005",1.97698,"60 ans ou plus",0.0295326680622998
"A2Z70","2003-2005",4.51988,"15-24 ans",0.108709026792676
"A2Z70","2003-2005",7.89311,"25-29 ans",0.189839621066829
"A2Z70","2003-2005",5.71031,"30-34 ans",0.137340425583088
"A2Z70","2003-2005",5.04258,"35-39 ans",0.121280645575594
"A2Z70","2003-2005",5.26316,"40-44 ans",0.126585883132769
"A2Z70","2003-2005",6.39107,"45-49 ans",0.153713594136099
"A2Z70","2003-2005",4.10667,"50-54 ans",0.0987707857418073
"A2Z70","2003-2005",2.14759,"55-59 ans",0.0516523489229103
"A2Z70","2003-2005",0.50341,"60 ans ou plus",0.0121076690482272
"A2Z90","2003-2005",0.46594,"15-24 ans",0.0465730886831813
