Fap3;Type_mmo;Annee;Taux;;;
L1Z;Taux d'entrée;2008;23.54;;;
L2Z;Taux d'entrée;2008;120.27;;;
L3Z;Taux d'entrée;2008;16.59;;;
L4Z;Taux d'entrée;2008;16.56;;;
L5Z;Taux d'entrée;2008;19.56;;;
L6Z;Taux d'entrée;2008;151.15;;;
M0Z;Taux d'entrée;2008;80.37;;;
M1Z;Taux d'entrée;2008;24.57;;;
M2Z;Taux d'entrée;2008;25.81;;;
N0Z;Taux d'entrée;2008;15.24;;;
P0Z;Taux d'entrée;2008;2.92;;;
P1Z;Taux d'entrée;2008;1.88;;;
P2Z;Taux d'entrée;2008;2.36;;;
P3Z;Taux d'entrée;2008;5.72;;;
P4Z;Taux d'entrée;2008;5.28;;;
Q0Z;Taux d'entrée;2008;19.75;;;
Q1Z;Taux d'entrée;2008;13.7;;;
Q2Z;Taux d'entrée;2008;6.39;;;
R0Z;Taux d'entrée;2008;143.77;;;
R1Z;Taux d'entrée;2008;76.09;;;
R2Z;Taux d'entrée;2008;18.89;;;
R3Z;Taux d'entrée;2008;22.9;;;
R4Z;Taux d'entrée;2008;16.08;;;
S0Z;Taux d'entrée;2008;40.43;;;
S1Z;Taux d'entrée;2008;121.07;;;
S2Z;Taux d'entrée;2008;153.69;;;
S3Z;Taux d'entrée;2008;17.83;;;
T0Z;Taux d'entrée;2008;42.84;;;
T1Z;Taux d'entrée;2008;55.2;;;
T2A;Taux d'entrée;2008;69.19;;;
T2B;Taux d'entrée;2008;20.39;;;
T3Z;Taux d'entrée;2008;77.32;;;
T4Z;Taux d'entrée;2008;168.69;;;
T6Z;Taux d'entrée;2008;544.44;;;
U0Z;Taux d'entrée;2008;50.58;;;
U1Z;Taux d'entrée;2008;215.26;;;
V0Z;Taux d'entrée;2008;127.49;;;
V1Z;Taux d'entrée;2008;106.19;;;
V2Z;Taux d'entrée;2008;77.74;;;
V3Z;Taux d'entrée;2008;22.37;;;
V4Z;Taux d'entrée;2008;54.77;;;
V5Z;Taux d'entrée;2008;182.56;;;
W0Z;Taux d'entrée;2008;49.4;;;
W1Z;Taux d'entrée;2008;88.34;;;
X0Z;Taux d'entrée;2008;1.28;;;
ZZZ;Taux d'entrée;2008;472.21;;;
A0Z;Taux d'entrée;2009;100.8;;;
A1Z;Taux d'entrée;2009;136.76;;;
A2Z;Taux d'entrée;2009;10.44;;;
A3Z;Taux d'entrée;2009;80.24;;;
B0Z;Taux d'entrée;2009;30.14;;;
B1Z;Taux d'entrée;2009;29.55;;;
B2Z;Taux d'entrée;2009;20.87;;;
B3Z;Taux d'entrée;2009;51.07;;;
B4Z;Taux d'entrée;2009;25.59;;;
B5Z;Taux d'entrée;2009;15.2;;;
B6Z;Taux d'entrée;2009;13.39;;;
B7Z;Taux d'entrée;2009;14.94;;;
C0Z;Taux d'entrée;2009;20.19;;;
C1Z;Taux d'entrée;2009;16.4;;;
C2Z;Taux d'entrée;2009;7.26;;;
D0Z;Taux d'entrée;2009;7.25;;;
D1Z;Taux d'entrée;2009;5.71;;;
D2Z;Taux d'entrée;2009;10.23;;;
D3Z;Taux d'entrée;2009;15.11;;;
D4Z;Taux d'entrée;2009;7.33;;;
D6Z;Taux d'entrée;2009;3.24;;;
E0Z;Taux d'entrée;2009;67.5;;;
E1Z;Taux d'entrée;2009;25.11;;;
E2Z;Taux d'entrée;2009;7.56;;;
Ensemble;Taux d'entrée;2009;49.53;;;
F0Z;Taux d'entrée;2009;14.14;;;
F1Z;Taux d'entrée;2009;13.41;;;
