"fap","Non_immigres","Immigrés","lieu_naissance","effectif","pourcentage","pourcentage_immigres","pourcentage_emploi","id"
"S3Z",158000,32100,"Cambodge, Laos, Vietnam",2600,0.011304347826087,8.09968847352025,1.36770120988953,"Cambodge, Laos, Vietnam"
"T",2350900,481400,"Cambodge, Laos, Vietnam",7000,0.0304347826086957,1.45409223099294,0.247148960209017,"Cambodge, Laos, Vietnam"
"T0Z",215100,19000,"Cambodge, Laos, Vietnam",1400,0.00608695652173913,7.36842105263158,0.598035027765912,"Cambodge, Laos, Vietnam"
"T1Z",57500,36400,"Cambodge, Laos, Vietnam",200,0.000869565217391304,0.549450549450549,0.212992545260916,"Cambodge, Laos, Vietnam"
"T2A",416400,76700,"Cambodge, Laos, Vietnam",900,0.00391304347826087,1.17340286831812,0.18251875887244,"Cambodge, Laos, Vietnam"
"T2B",336800,53000,"Cambodge, Laos, Vietnam",800,0.00347826086956522,1.50943396226415,0.205233453052848,"Cambodge, Laos, Vietnam"
"T3Z",154400,61300,"Cambodge, Laos, Vietnam",600,0.00260869565217391,0.978792822185971,0.278164116828929,"Cambodge, Laos, Vietnam"
"T4Z",1016600,214700,"Cambodge, Laos, Vietnam",2600,0.011304347826087,1.21099208197485,0.211158937708113,"Cambodge, Laos, Vietnam"
"T6Z",154100,20500,"Cambodge, Laos, Vietnam",400,0.00173913043478261,1.95121951219512,0.229095074455899,"Cambodge, Laos, Vietnam"
"U",513000,60500,"Cambodge, Laos, Vietnam",1200,0.00521739130434783,1.98347107438017,0.20924149956408,"Cambodge, Laos, Vietnam"
"U0Z",148700,19300,"Cambodge, Laos, Vietnam",300,0.00130434782608696,1.55440414507772,0.178571428571429,"Cambodge, Laos, Vietnam"
"U1Z",364300,41100,"Cambodge, Laos, Vietnam",900,0.00391304347826087,2.18978102189781,0.222002960039467,"Cambodge, Laos, Vietnam"
"V",2657400,207100,"Cambodge, Laos, Vietnam",4600,0.02,2.22114920328344,0.160586489788794,"Cambodge, Laos, Vietnam"
"V0Z",618500,59400,"Cambodge, Laos, Vietnam",800,0.00347826086956522,1.34680134680135,0.118011506121847,"Cambodge, Laos, Vietnam"
"V1Z",598300,27800,"Cambodge, Laos, Vietnam",700,0.00304347826086957,2.51798561151079,0.111803226321674,"Cambodge, Laos, Vietnam"
"V2Z",333500,44400,"Cambodge, Laos, Vietnam",1500,0.00652173913043478,3.37837837837838,0.396930404869013,"Cambodge, Laos, Vietnam"
"V3Z",411400,23500,"Cambodge, Laos, Vietnam",800,0.00347826086956522,3.40425531914894,0.183950333409979,"Cambodge, Laos, Vietnam"
"V4Z",313100,17900,"Cambodge, Laos, Vietnam",200,0.000869565217391304,1.11731843575419,0.0604229607250755,"Cambodge, Laos, Vietnam"
"V5Z",382500,33900,"Cambodge, Laos, Vietnam",400,0.00173913043478261,1.17994100294985,0.0960614793467819,"Cambodge, Laos, Vietnam"
"W",1140100,87700,"Cambodge, Laos, Vietnam",1300,0.00565217391304348,1.48232611174458,0.105880436553185,"Cambodge, Laos, Vietnam"
"W0Z",990100,67200,"Cambodge, Laos, Vietnam",1000,0.00434782608695652,1.48809523809524,0.0945805353258299,"Cambodge, Laos, Vietnam"
"W1Z",150000,20400,"Cambodge, Laos, Vietnam",300,0.00130434782608696,1.47058823529412,0.176056338028169,"Cambodge, Laos, Vietnam"
"X",13600,4300,"Cambodge, Laos, Vietnam",100,0.000434782608695652,2.32558139534884,0.558659217877095,"Cambodge, Laos, Vietnam"
"X0Z",13600,4300,"Cambodge, Laos, Vietnam",100,0.000434782608695652,2.32558139534884,0.558659217877095,"Cambodge, Laos, Vietnam"
"ENS",23662000,2697300,"Chine",55900,0.334931096464949,2.07244281318355,0.212069364512715,"Chine"
"A",764000,48100,"Chine",200,0.0011983223487118,0.415800415800416,0.024627508927472,"Chine"
"A0Z",424700,18700,"Chine",100,0.000599161174355902,0.53475935828877,0.02255299954894,"Chine"
"A1Z",254000,25300,"Chine",0,0,0,0,"Chine"
