"Fap3","Age","Part"
"L3Z","25-29 ans",11.3953089550435
"L4Z","25-29 ans",15.2910608251433
"L5Z","25-29 ans",19.3017918750095
"L6Z","25-29 ans",4.3366226464818
"M0Z","25-29 ans",25.853467283904
"M1Z","25-29 ans",17.0492059630955
"M2Z","25-29 ans",16.766072473221
"N0Z","25-29 ans",30.1595565773893
"P0Z","25-29 ans",20.0320512820513
"P1Z","25-29 ans",23.6111111111111
"P2Z","25-29 ans",21.7584717618737
"P3Z","25-29 ans",21.2386952438239
"P4Z","25-29 ans",18.5534140574622
"Q0Z","25-29 ans",20.5036190667581
"Q1Z","25-29 ans",17.3195282913971
"Q2Z","25-29 ans",14.5802228576731
"R0Z","25-29 ans",18.7166977075454
"R1Z","25-29 ans",19.0238090681161
"R2Z","25-29 ans",14.5670925364516
"R3Z","25-29 ans",14.1743154947106
"R4Z","25-29 ans",14.4406910143231
"S0Z","25-29 ans",16.7091260774918
"S1Z","25-29 ans",14.0333633280266
"S2Z","25-29 ans",19.0328511501601
"S3Z","25-29 ans",11.2432957379654
"T0Z","25-29 ans",19.7608135095223
"T1Z","25-29 ans",7.61755678330264
"T2A","25-29 ans",11.016679875677
"T2B","25-29 ans",10.4338611994128
"T3Z","25-29 ans",9.86180108926636
"T4Z","25-29 ans",9.86222339885719
"T6Z","25-29 ans",10.4054849544652
"U0Z","25-29 ans",23.6004359569729
"U1Z","25-29 ans",17.3183279203068
"V0Z","25-29 ans",17.8094930694589
"V1Z","25-29 ans",19.3145667923116
"V2Z","25-29 ans",13.5844972523115
"V3Z","25-29 ans",19.8082280676237
"V4Z","25-29 ans",14.8826157942121
"V5Z","25-29 ans",18.1412230413703
"W0Z","25-29 ans",17.2369831122279
"W1Z","25-29 ans",4.6859334815396
"ZZZ","25-29 ans",17.7585460839463
"Ensemble","30-49 ans",44.760568260281
"A0Z","30-49 ans",42.3767866035394
"A1Z","30-49 ans",44.0277455753922
"A2Z","30-49 ans",42.1459255508551
"A3Z","30-49 ans",44.7493111677292
"B0Z","30-49 ans",50.165489993477
"B1Z","30-49 ans",55.604921997752
"B2Z","30-49 ans",49.8926959587874
"B3Z","30-49 ans",45.2762835279804
"B4Z","30-49 ans",46.8770844524199
"B5Z","30-49 ans",56.8219645387144
"B6Z","30-49 ans",46.911548081581
"B7Z","30-49 ans",47.6231474819602
"C0Z","30-49 ans",44.9745618993782
"C1Z","30-49 ans",43.7552775005757
"C2Z","30-49 ans",42.6724644494065
"D0Z","30-49 ans",45.1720542231491
"D1Z","30-49 ans",47.1998403472447
"D2Z","30-49 ans",45.9621915121579
"D3Z","30-49 ans",43.84480703871
"D4Z","30-49 ans",49.0030999799282
"D6Z","30-49 ans",38.319630220477
"E0Z","30-49 ans",45.3544241166968
"E1Z","30-49 ans",47.6876866868577
"E2Z","30-49 ans",40.510152148291
"F0Z","30-49 ans",42.121243986435
"F1Z","30-49 ans",37.413532121291
"F2Z","30-49 ans",41.0609268407434
"F3Z","30-49 ans",42.0173149506647
"F4Z","30-49 ans",37.1442075041796
"F5Z","30-49 ans",39.5828228375398
"G0A","30-49 ans",37.6935388970494
"G0B","30-49 ans",39.7752231606342
"G1Z","30-49 ans",42.078625530019
"H0Z","30-49 ans",42.2955628236332
"J0Z","30-49 ans",43.9350358155422
"J1Z","30-49 ans",50.6480277837062
"J3Z","30-49 ans",50.4048739106964
"J4Z","30-49 ans",48.046712167686
"J5Z","30-49 ans",41.7297697005894
"J6Z","30-49 ans",43.7488808509114
"K0Z","30-49 ans",39.9856828756967
"L0Z","30-49 ans",47.6630426677404
"L1Z","30-49 ans",47.954157032271
"L2Z","30-49 ans",41.3439885966442
"L3Z","30-49 ans",46.6686721075966
"L4Z","30-49 ans",45.4261870334623
"L5Z","30-49 ans",46.6814596410171
"L6Z","30-49 ans",45.8200345524289
"M0Z","30-49 ans",40.5865912745087
"M1Z","30-49 ans",46.5997150502137
