"Fap","Salaire","Milliers","Pourcentage"
"P4Z60","3000 € ou plus",141.70468,52.9477034458587
"T3Z61","Moins de 1250 €",22.31485,15.0404970548669
"T3Z61","De 1250 € à moins de 1500 €",52.56176,35.4273049775651
"T3Z61","De 1500 € à moins de 2000 €",48.19905,32.4867821012636
"T3Z61","De 2000 € à moins de 3000 €",5.68077,3.82891233659989
"T3Z61","3000 € ou plus",19.60868,13.2165035297045
"P0Z60","Moins de 1250 €",0.95782,5.21208407724694
"P0Z60","De 1250 € à moins de 1500 €",1.9531,10.6280109115189
"P0Z60","De 1500 € à moins de 2000 €",10.71972,58.3325488343797
"P0Z60","De 2000 € à moins de 3000 €",0.14473,0.787564394667003
"P0Z60","3000 € ou plus",4.60154,25.0397917821875
"J5Z60","Moins de 1250 €",1.19241,6.45601591791984
"J5Z60","De 1250 € à moins de 1500 €",2.70383,14.6392344238552
"J5Z60","De 1500 € à moins de 2000 €",5.23268,28.3310819041947
"J5Z60","De 2000 € à moins de 3000 €",4.35266,23.5664261833539
"J5Z60","3000 € ou plus",4.98817,27.0072415706764
"R4Z93","Moins de 1250 €",0,0
"R4Z93","De 1250 € à moins de 1500 €",0.34594,0.934866095038324
"R4Z93","De 1500 € à moins de 2000 €",3.90839,10.5620087217056
"R4Z93","De 2000 € à moins de 3000 €",20.14335,54.4352632118004
"R4Z93","3000 € ou plus",12.60655,34.0678619714557
"E1Z46","Moins de 1250 €",2.64058,6.45486959382854
"E1Z46","De 1250 € à moins de 1500 €",4.68721,11.4578347593669
"E1Z46","De 1500 € à moins de 2000 €",16.22822,39.669710381795
"E1Z46","De 2000 € à moins de 3000 €",3.0847,7.54051618814159
"E1Z46","3000 € ou plus",14.26763,34.8770690768679
"D4Z41","Moins de 1250 €",1.92096,10.8745752119058
"D4Z41","De 1250 € à moins de 1500 €",3.02758,17.1391629289843
"D4Z41","De 1500 € à moins de 2000 €",8.7681,49.6363083643132
"D4Z41","De 2000 € à moins de 3000 €",1.30518,7.38863801176245
"D4Z41","3000 € ou plus",2.64287,14.9613154830342
"A0Z40","Moins de 1250 €",13.3346,29.1282537901724
"A0Z40","De 1250 € à moins de 1500 €",15.97917,34.9050829508429
"A0Z40","De 1500 € à moins de 2000 €",12.82738,28.0202765814484
"A0Z40","De 2000 € à moins de 3000 €",0.27418,0.598921949229034
"A0Z40","3000 € ou plus",3.36359,7.34746472830726
"A0Z","Moins de 1250 €",29.64913,27.5399652382495
"A0Z","De 1250 € à moins de 1500 €",29.96988,27.8378978875437
"A0Z","De 1500 € à moins de 2000 €",35.36057,32.8451077183273
"A0Z","De 2000 € à moins de 3000 €",0.45733,0.424796690574349
"A0Z","3000 € ou plus",12.22165,11.3522324653051
"A","Moins de 1250 €",93.70697,25.5460999609149
"A","De 1250 € à moins de 1500 €",92.30393,25.1636076010706
"A","De 1500 € à moins de 2000 €",113.89237,31.0489803352462
"A","De 2000 € à moins de 3000 €",14.39862,3.92530657878735
"A","3000 € ou plus",52.51328,14.3160055239809
"S1Z20","Moins de 1250 €",26.80345,44.4435103665239
"S1Z20","De 1250 € à moins de 1500 €",23.42648,38.8440669664228
"S1Z20","De 1500 € à moins de 2000 €",8.69533,14.4179569792451
"S1Z20","De 2000 € à moins de 3000 €",0.44679,0.740834332769073
"S1Z20","3000 € ou plus",0.93698,1.5536313550392
"T2A","Moins de 1250 €",69.25932,45.8786935824312
"T2A","De 1250 € à moins de 1500 €",48.07174,31.8436367760223
"T2A","De 1500 € à moins de 2000 €",23.8702,15.8120754225041
"T2A","De 2000 € à moins de 3000 €",2.65796,1.76068336209999
"T2A","3000 € ou plus",7.10262,4.70491085694239
"T2A60","Moins de 1250 €",69.25932,45.8786935824312
"T2A60","De 1250 € à moins de 1500 €",48.07174,31.8436367760223
"T2A60","De 1500 € à moins de 2000 €",23.8702,15.8120754225041
"T2A60","De 2000 € à moins de 3000 €",2.65796,1.76068336209999
"T2A60","3000 € ou plus",7.10262,4.70491085694239
"V0Z","Moins de 1250 €",49.33078,9.81173735732979
"V0Z","De 1250 € à moins de 1500 €",147.03794,29.2453849066002
"V0Z","De 1500 € à moins de 2000 €",269.68981,53.6404570061161
"V0Z","De 2000 € à moins de 3000 €",1.64449,0.327083901101001
"V0Z","3000 € ou plus",35.07012,6.97533682885287
"V0Z60","Moins de 1250 €",49.33078,9.81173735732979
"V0Z60","De 1250 € à moins de 1500 €",147.03794,29.2453849066002
"V0Z60","De 1500 € à moins de 2000 €",269.68981,53.6404570061161
"V0Z60","De 2000 € à moins de 3000 €",1.64449,0.327083901101001
"V0Z60","3000 € ou plus",35.07012,6.97533682885287
"S0Z20","Moins de 1250 €",0.28959,37.2305002378412
"S0Z20","De 1250 € à moins de 1500 €",0.25981,33.4019001581322
"S0Z20","De 1500 € à moins de 2000 €",0.22843,29.3675996040266
"S0Z20","De 2000 € à moins de 3000 €",NA,NA
"S0Z20","3000 € ou plus",NA,NA
"B7Z90","Moins de 1250 €",0.57328,2.22044312031751
"B7Z90","De 1250 € à moins de 1500 €",0,0
"B7Z90","De 1500 € à moins de 2000 €",3.77347,14.6155028977542
"B7Z90","De 2000 € à moins de 3000 €",7.9196,30.6744022740486
"B7Z90","3000 € ou plus",13.55192,52.4896517078797
"P4Z","Moins de 1250 €",13.56651,3.95477892258451
"P4Z","De 1250 € à moins de 1500 €",21.99413,6.41151790287876
"P4Z","De 1500 € à moins de 2000 €",89.12646,25.9812910949516
"P4Z","De 2000 € à moins de 3000 €",26.5564,7.74146711127057
"P4Z","3000 € ou plus",191.79742,55.9109449683146
"K","Moins de 1250 €",27.09828,42.3880536313304
"K","De 1250 € à moins de 1500 €",14.93402,23.3603033362767
"K","De 1500 € à moins de 2000 €",14.64202,22.9035469790338
"K","De 2000 € à moins de 3000 €",1.8219,2.84987810705775
"K","3000 € ou plus",5.43283,8.49821794630141
"K0Z","Moins de 1250 €",27.09828,42.3880536313304
"K0Z","De 1250 € à moins de 1500 €",14.93402,23.3603033362767
"K0Z","De 1500 € à moins de 2000 €",14.64202,22.9035469790338
"K0Z","De 2000 € à moins de 3000 €",1.8219,2.84987810705775
"K0Z","3000 € ou plus",5.43283,8.49821794630141
"K0Z40","Moins de 1250 €",4.36159,15.9629662433143
"K0Z40","De 1250 € à moins de 1500 €",7.97964,29.204653338301
"K0Z40","De 1500 € à moins de 2000 €",8.68075,31.7706430949838
"K0Z40","De 2000 € à moins de 3000 €",1.70561,6.24235539201513
"K0Z40","3000 € ou plus",4.59559,16.8193819313857
"U1Z91","Moins de 1250 €",9.55425,22.0021729858889
"U1Z91","De 1250 € à moins de 1500 €",4.65213,10.7132395544227
"U1Z91","De 1500 € à moins de 2000 €",9.11263,20.9851805862732
