"Fap","stat_sl","annee","effectif","pourcentage","part"
"T2Z","cdd","1982-1984",87.06846,0.261464389238624,26.1464389238624
"T3Z","cdd","1982-1984",9.96627,0.0683166830496136,6.83166830496136
"T4Z","cdd","1982-1984",182.68837,0.164313695262607,16.4313695262607
"T6Z","cdd","1982-1984",3.36306,0.0508718474349807,5.08718474349807
"U0Z","cdd","1982-1984",3.75504,0.0590494198279392,5.90494198279392
"U1Z","cdd","1982-1984",21.84691,0.132135038731324,13.2135038731324
"V0Z","cdd","1982-1984",22.03994,0.0859738306493484,8.59738306493484
"V1Z","cdd","1982-1984",15.66036,0.0443931984720133,4.43931984720133
"V2Z","cdd","1982-1984",25.52295,0.127203773687781,12.7203773687781
"V3Z","cdd","1982-1984",9.05704,0.0443729259227233,4.43729259227233
"V4Z","cdd","1982-1984",11.93579,0.114455639077124,11.4455639077124
"V5Z","cdd","1982-1984",73.91341,0.366313562829021,36.6313562829021
"W0Z","cdd","1982-1984",83.25978,0.0908029380619156,9.08029380619156
"W1Z","cdd","1982-1984",5.72051,0.131785361978889,13.1785361978889
"X0Z","cdd","1982-1984",1.31061,0.0491426535930557,4.91426535930557
"ZZZ","cdd","1982-1984",1.29762,0.0363813761402299,3.63813761402299
"SAL","cdd","1982-1984",3298.38619,0.0884868585670886,8.84868585670886
"A0Z","cdd","1983-1985",19.27627,0.0122231993162257,1.22231993162257
"A1Z","cdd","1983-1985",17.98465,0.0527241363216769,5.27241363216769
"A2Z","cdd","1983-1985",1.8558,0.0624106281687905,6.24106281687905
"A3Z","cdd","1983-1985",1.77175,0.0323909976884336,3.23909976884336
"B0Z","cdd","1983-1985",26.2521,0.0780615173677442,7.80615173677442
"B1Z","cdd","1983-1985",2.82658,0.0276220839077795,2.76220839077795
"B2Z","cdd","1983-1985",12.5898,0.0350587340588481,3.50587340588481
"B3Z","cdd","1983-1985",12.70962,0.0935525359567888,9.35525359567888
"B4Z","cdd","1983-1985",14.0248,0.0288681375650489,2.88681375650489
"B5Z","cdd","1983-1985",1.28734,0.0189607565921305,1.89607565921305
"B6Z","cdd","1983-1985",11.75095,0.0530562800350459,5.30562800350459
"B7Z","cdd","1983-1985",1.67788,0.0219342789975762,2.19342789975762
"C0Z","cdd","1983-1985",5.27983,0.0674690028731475,6.74690028731475
"C1Z","cdd","1983-1985",2.23056,0.0293368704102777,2.93368704102777
"C2Z","cdd","1983-1985",3.83648,0.0236167769681268,2.36167769681268
"D0Z","cdd","1983-1985",4.67593,0.0491409867187034,4.91409867187034
"D1Z","cdd","1983-1985",1.98256,0.0130603700877367,1.30603700877367
"D2Z","cdd","1983-1985",2.92606,0.0165951575234385,1.65951575234385
"D3Z","cdd","1983-1985",20.71627,0.0598025824587074,5.98025824587074
"D4Z","cdd","1983-1985",3.35908,0.0211222601374216,2.11222601374216
"D6Z","cdd","1983-1985",6.58557,0.0222145305469065,2.22145305469065
"E0Z","cdd","1983-1985",19.39078,0.0505684655268244,5.05684655268244
"E1Z","cdd","1983-1985",5.78134,0.0220051223511431,2.20051223511431
"E2Z","cdd","1983-1985",4.24646,0.0200736793460339,2.00736793460339
"ENS","cdd","1983-1985",1666.75976,0.0746243512632636,7.46243512632636
"F0Z","cdd","1983-1985",21.64965,0.0776256465800994,7.76256465800993
"F1Z","cdd","1983-1985",8.8513,0.0606179728149489,6.06179728149489
"F2Z","cdd","1983-1985",4.77268,0.0640534730033349,6.40534730033349
"F3Z","cdd","1983-1985",2.57966,0.0309248973799443,3.09248973799443
"F4Z","cdd","1983-1985",3.94275,0.035531012799906,3.5531012799906
"F5Z","cdd","1983-1985",0.95411,0.0244237591716129,2.44237591716129
"G0A","cdd","1983-1985",5.23311,0.0235805817788073,2.35805817788073
"G0B","cdd","1983-1985",4.14932,0.0189455134991099,1.89455134991099
"G1Z","cdd","1983-1985",6.86961,0.0276583364583257,2.76583364583257
"H0Z","cdd","1983-1985",1.9416,0.0185703241514354,1.85703241514354
"J0Z","cdd","1983-1985",35.40791,0.0777447936347825,7.77447936347825
"J1Z","cdd","1983-1985",7.08448,0.02027534537658,2.027534537658
"J3Z","cdd","1983-1985",20.91348,0.0325044058211159,3.25044058211159
"J4Z","cdd","1983-1985",1.26142,0.0279724590736859,2.79724590736859
"J5Z","cdd","1983-1985",5.51468,0.0396919609938177,3.96919609938177
"J6Z","cdd","1983-1985",0.91383,0.0285559203310353,2.85559203310353
"K0Z","cdd","1983-1985",11.37651,0.0754638370234619,7.54638370234619
"L0Z","cdd","1983-1985",35.11091,0.0610983142279164,6.10983142279164
"L1Z","cdd","1983-1985",18.43962,0.0564187485812794,5.64187485812794
"L2Z","cdd","1983-1985",14.21764,0.064843696873901,6.4843696873901
"L3Z","cdd","1983-1985",4.6744,0.0263791997549439,2.63791997549439
"L4Z","cdd","1983-1985",5.5728,0.0394757282144848,3.94757282144848
"L5Z","cdd","1983-1985",5.62298,0.0246673763772028,2.46673763772028
"L6Z","cdd","1983-1985",0,0,0
"M0Z","cdd","1983-1985",2.47488,0.0580341576302907,5.80341576302907
"M1Z","cdd","1983-1985",6.37047,0.0455754281717353,4.55754281717353
"M2Z","cdd","1983-1985",1.00767,0.0207184544070433,2.07184544070433
"N0Z","cdd","1983-1985",5.81492,0.0410360651637686,4.10360651637686
"P0Z","cdd","1983-1985",101.94568,0.127551435528688,12.7551435528688
"P1Z","cdd","1983-1985",10.86515,0.0298410880319718,2.98410880319718
"P2Z","cdd","1983-1985",7.28081,0.0285809294394945,2.85809294394945
"P3Z","cdd","1983-1985",0.22783,0.00615159719310259,0.615159719310259
"P4Z","cdd","1983-1985",367.16166,0.529874345332282,52.9874345332282
"Q0Z","cdd","1983-1985",13.23745,0.0370304279231434,3.70304279231434
"Q1Z","cdd","1983-1985",2.85223,0.0257131070558036,2.57131070558036
"Q2Z","cdd","1983-1985",1.09954,0.00729503747170829,0.729503747170829
"R0Z","cdd","1983-1985",15.10286,0.0582850700847513,5.82850700847513
"R1Z","cdd","1983-1985",41.89073,0.0613935620892728,6.13935620892728
"R2Z","cdd","1983-1985",19.97538,0.0546435970302461,5.46435970302461
"R3Z","cdd","1983-1985",6.6989,0.0115740852725125,1.15740852725125
"R4Z","cdd","1983-1985",5.68935,0.0219289809906819,2.19289809906819
"S0Z","cdd","1983-1985",8.42893,0.0273731054099338,2.73731054099338
"S1Z","cdd","1983-1985",19.04665,0.0697483476438416,6.97483476438416
"S2Z","cdd","1983-1985",21.0791,0.106510677443905,10.6510677443905
"S3Z","cdd","1983-1985",0.26012,0.0010319139174649,0.10319139174649
"T0Z","cdd","1983-1985",6.54393,0.042608718016668,4.2608718016668
"T1Z","cdd","1983-1985",4.80531,0.0210371425864639,2.10371425864639
"T2A","cdd","1983-1985",0,NA,NA
"T2B","cdd","1983-1985",0,NA,NA
"T2Z","cdd","1983-1985",84.60655,0.251534771023713,25.1534771023713
"T3Z","cdd","1983-1985",10.02277,0.0664147139102161,6.64147139102161
"T4Z","cdd","1983-1985",180.7903,0.160703953080461,16.0703953080461
"T6Z","cdd","1983-1985",2.99465,0.0458067122401121,4.58067122401121
"U0Z","cdd","1983-1985",4.23818,0.0652459721021427,6.52459721021427
"U1Z","cdd","1983-1985",24.29797,0.136897237025199,13.6897237025199
"V0Z","cdd","1983-1985",22.54054,0.0866088117782396,8.66088117782396
"V1Z","cdd","1983-1985",16.53619,0.0455618059350569,4.55618059350569
"V2Z","cdd","1983-1985",25.8073,0.123786955183283,12.3786955183283
"V3Z","cdd","1983-1985",10.51708,0.0485930777684317,4.85930777684317
"V4Z","cdd","1983-1985",12.28609,0.109326109047679,10.9326109047679
"V5Z","cdd","1983-1985",82.07196,0.377867641655775,37.7867641655775
"W0Z","cdd","1983-1985",79.7119,0.0864971893152746,8.64971893152746
"W1Z","cdd","1983-1985",6.14064,0.132044251287136,13.2044251287136
"X0Z","cdd","1983-1985",1.76758,0.0672856795907693,6.72856795907693
"ZZZ","cdd","1983-1985",0.4976,0.0327525288427615,3.27525288427615
"SAL","cdd","1983-1985",3333.51951,0.089664411837645,8.96644118376449
"A0Z","cdd","1984-1986",25.44173,0.0166038934461469,1.66038934461469
"A1Z","cdd","1984-1986",22.72363,0.0644253386794042,6.44253386794042
"A2Z","cdd","1984-1986",1.64637,0.0540266397141104,5.40266397141104
"A3Z","cdd","1984-1986",2.29696,0.048687977124519,4.8687977124519
"B0Z","cdd","1984-1986",26.73395,0.0874038646416508,8.74038646416508
"B1Z","cdd","1984-1986",3.50924,0.0334597865947466,3.34597865947466
"B2Z","cdd","1984-1986",14.46941,0.0413216912027187,4.13216912027187
"B3Z","cdd","1984-1986",19.11494,0.138690768099674,13.8690768099674
"B4Z","cdd","1984-1986",15.2568,0.030966339652935,3.0966339652935
"B5Z","cdd","1984-1986",1.51961,0.0224018664364579,2.24018664364579
"B6Z","cdd","1984-1986",12.1296,0.0549316130944256,5.49316130944256
"B7Z","cdd","1984-1986",2.03751,0.026697836483466,2.6697836483466
"C0Z","cdd","1984-1986",5.05378,0.0662636653452692,6.62636653452692
"C1Z","cdd","1984-1986",1.96984,0.0259709884451357,2.59709884451357
"C2Z","cdd","1984-1986",4.15169,0.0246909769626451,2.46909769626451
"D0Z","cdd","1984-1986",5.22417,0.0650453989410545,6.50453989410545
"D1Z","cdd","1984-1986",2.91962,0.0201596242419823,2.01596242419823
"D2Z","cdd","1984-1986",3.05856,0.0172366007711882,1.72366007711882
"D3Z","cdd","1984-1986",21.16558,0.0644031401337717,6.44031401337717
"D4Z","cdd","1984-1986",3.20332,0.0218661192696422,2.18661192696422
"D6Z","cdd","1984-1986",6.13314,0.0217562879575682,2.17562879575682
"E0Z","cdd","1984-1986",21.0553,0.0581952263236904,5.81952263236904
"E1Z","cdd","1984-1986",7.39369,0.0279131715222671,2.79131715222671
"E2Z","cdd","1984-1986",3.59137,0.0165040966934731,1.65040966934731
"ENS","cdd","1984-1986",1783.40505,0.0798158364661654,7.98158364661654
"F0Z","cdd","1984-1986",20.0055,0.0727026570894167,7.27026570894167
"F1Z","cdd","1984-1986",8.96428,0.063793301357501,6.3793301357501
"F2Z","cdd","1984-1986",4.94196,0.0842059706299056,8.42059706299056
"F3Z","cdd","1984-1986",2.93915,0.0372799718721176,3.72799718721176
"F4Z","cdd","1984-1986",4.20806,0.0393229227504348,3.93229227504348
"F5Z","cdd","1984-1986",1.00477,0.0278362796676612,2.78362796676612
"G0A","cdd","1984-1986",6.31797,0.0276037835975424,2.76037835975424
"G0B","cdd","1984-1986",5.35883,0.0241056775327239,2.41056775327239
"G1Z","cdd","1984-1986",5.58488,0.022205642183277,2.2205642183277
"H0Z","cdd","1984-1986",2.31161,0.0225144552189657,2.25144552189657
"J0Z","cdd","1984-1986",41.39183,0.0904209853393846,9.04209853393846
"J1Z","cdd","1984-1986",7.66517,0.0225013132079867,2.25013132079867
"J3Z","cdd","1984-1986",22.59633,0.0357572454600307,3.57572454600307
"J4Z","cdd","1984-1986",1.08202,0.0319057870779233,3.19057870779233
"J5Z","cdd","1984-1986",6.22587,0.0442262699015267,4.42262699015266
"J6Z","cdd","1984-1986",1.02894,0.0324580300139145,3.24580300139145
"K0Z","cdd","1984-1986",13.03769,0.0843940941889744,8.43940941889744
"L0Z","cdd","1984-1986",39.42386,0.0711690557204381,7.11690557204381
"L1Z","cdd","1984-1986",19.95344,0.0598067923228032,5.98067923228032
"L2Z","cdd","1984-1986",16.87455,0.077387672867461,7.7387672867461
"L3Z","cdd","1984-1986",5.24547,0.0292179617827654,2.92179617827654
"L4Z","cdd","1984-1986",4.84645,0.0351209920331449,3.51209920331449
"L5Z","cdd","1984-1986",6.73564,0.0271144591636272,2.71144591636272
"L6Z","cdd","1984-1986",0,0,0
"M0Z","cdd","1984-1986",3.02821,0.0820961700238003,8.20961700238003
